stable_key	source_file	source_line	source_function	resolved_function	reuse_disposition	retail_status	retail_classification	retail_va_or_empty	retail_name_or_empty	generation32_grade	generation32_contract_state	evidence	delta_summary	falsifier
"[""actor.h"",18,""SetThingType"",""SetThingType(ULONG t)""]"	actor.h	18	SetThingType	CActor::SetThingType	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00401540	CActor__VFunc_38_00401540	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	Stores the input OR the inherited thing mask and THING_TYPE_ACTOR exactly as source	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""actor.h"",24,""GetVelocity"",""GetVelocity()""]"	actor.h	24	GetVelocity	CActor::GetVelocity	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetVelocity`.
"[""actor.h"",25,""SetVelocity"",""SetVelocity(const FVector& vel)""]"	actor.h	25	SetVelocity	CActor::SetVelocity	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::SetVelocity`.
"[""actor.h"",26,""AddVelocity"",""AddVelocity(const FVector& vel)""]"	actor.h	26	AddVelocity	CActor::AddVelocity	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::AddVelocity`.
"[""actor.h"",27,""GetOldPos"",""GetOldPos()""]"	actor.h	27	GetOldPos	CActor::GetOldPos	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetOldPos`.
"[""actor.h"",28,""GetOldOrientation"",""GetOldOrientation()""]"	actor.h	28	GetOldOrientation	CActor::GetOldOrientation	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetOldOrientation`.
"[""actor.h"",35,""GetLocalLastFrameMovement"",""GetLocalLastFrameMovement()""]"	actor.h	35	GetLocalLastFrameMovement	CActor::GetLocalLastFrameMovement	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00401550	HYP__CActor__GetLocalLastFrameMovement	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	Returns current position minus old position as the source inline declares	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""actor.h"",40,""Stop"",""Stop()""]"	actor.h	40	Stop	CActor::Stop	EXTENDED	SOURCE_AGREES	SOURCE_EXACT	0x00401580	CActor__VFunc_64_00401580	C1_CANDIDATE_PARTIAL	OPEN_DARK	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	Zeros the velocity FVector; the fourth copied dword is structure padding rather than another semantic component	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.
"[""actor.h"",53,""GetLastTimeOnGround"",""GetLastTimeOnGround()""]"	actor.h	53	GetLastTimeOnGround	CActor::GetLastTimeOnGround	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetLastTimeOnGround`.
"[""actor.h"",54,""GetLastTimeInWater"",""GetLastTimeInWater()""]"	actor.h	54	GetLastTimeInWater	CActor::GetLastTimeInWater	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetLastTimeInWater`.
"[""actor.h"",55,""GetLastTimeOnObject"",""GetLastTimeOnObject()""]"	actor.h	55	GetLastTimeOnObject	CActor::GetLastTimeOnObject	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetLastTimeOnObject`.
"[""BattleEngine.h"",96,""GetZoom"",""GetZoom()""]"	BattleEngine.h	96	GetZoom	CBattleEngine::GetZoom	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetZoom`.
"[""BattleEngine.h"",97,""GetOldZoom"",""GetOldZoom()""]"	BattleEngine.h	97	GetOldZoom	CBattleEngine::GetOldZoom	EXTENDED	SOURCE_ONLY	NO_MATCH_FOUND					reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CBattleEngine::GetOldZoom`.
