0x00447d50 CUnitAI__IsCachedAnchorPointValid
0x00477ba0 Geometry__NoOpHook
0x00480ed0 CHLCollisionDetector__DispatchCollisionEventForPair
0x004bd5c0 CWorld__RasterizeFootprintIntoOccupancyBitplanes
0x004c78d0 CPDSimpleSprite__ReciprocalVec3Magnitude
0x004c7950 CPDSimpleSprite__EvaluateCurveDrivenScale
0x004daba0 CEngine__FindNearbyHostileWithinProjectileRadius
0x004df530 CEngine__CopyCStringToObjectLabel110
0x0044a610 CEngine__TrackBurstEventFromPreset
0x004f2b40 CTexture__FreeLevelResources
0x004fce40 CUnitAI__CallAttachedNodeVFunc14IfPresent
0x004fe540 CUnitAI__AccumulateForwardedCommandScore
