line_count	address	name	calls
4	0x004063a0	CBattleEngine__Unk_004063a0	CBattleEngine__Unk_004063a0
8	0x00408120	CUnitAI__Unk_00408120	CUnitAI__Unk_00408120
8	0x00428c70	CUnitAI__Unk_00428c70	CUnitAI__Unk_00428c70,CUnit__Helper_00402010
9	0x0040e8e0	CUnit__Unk_0040e8e0	CUnit__Unk_0040e8e0,CStaticShadows__Helper_0047eb80
10	0x00428cf0	CUnitAI__Unk_00428cf0	CUnitAI__Unk_00428cf0,CUnitAI__Helper_004fe540
10	0x00430fa0	CUnitAI__Unk_00430fa0	CUnitAI__Unk_00430fa0
11	0x00430b30	CUnitAI__Unk_00430b30	CUnitAI__Unk_00430b30
11	0x00431470	CUnitAI__Unk_00431470	CUnitAI__Unk_00431470
12	0x0040e910	CUnit__Unk_0040e910	CUnit__Unk_0040e910,HeightDelta__Below015_D4
13	0x00415a50	CUnitAI__Unk_00415a50	CUnitAI__Unk_00415a50
14	0x00407310	CEngine__Unk_00407310	CEngine__Unk_00407310,CBattleEngine__Unk_00412610,CGeneralVolume__ResolveCurrentOrFallbackEntry
14	0x00415140	CUnitAI__Unk_00415140	CUnitAI__Unk_00415140,CConsole__Printf
14	0x00421c40	CUnit__Unk_00421c40	CUnit__Unk_00421c40,CUnit__Unk_00402fa0
15	0x0042f280	CUnitAI__Unk_0042f280	CUnitAI__Unk_0042f280
16	0x004157c0	CUnitAI__Unk_004157c0	CUnitAI__Unk_004157c0,FindAnimationIndex
16	0x00408150	CUnit__Unk_00408150	CUnit__Unk_00408150,CBattleEngine__Unk_00406460,CGeneralVolume__SpawnPickupAndDispatch,CUnit__Helper_00402010
18	0x00415780	CUnitAI__Unk_00415780	CUnitAI__Unk_00415780,FindAnimationIndex
21	0x00414630	CBattleEngine__Unk_00414630	CBattleEngine__Unk_00414630,CGeneralVolume__ResolveCurrentOrFallbackEntry
23	0x004102a0	CBattleEngine__Unk_004102a0	CBattleEngine__Unk_004102a0,CSPtrSet__Remove,CSPtrSet__Clear
25	0x0040eeb0	CUnit__Unk_0040eeb0	CUnit__Unk_0040eeb0,FindAnimationIndex,CGillMHead__Helper_004f4560
31	0x00403690	CUnit__Unk_00403690	CUnit__Unk_00403690,CUnit__Helper_004fd140,CUnit__Unk_004fcfe0,CSPtrSet__Remove,CUnit__Helper_004cb0b0,CParticleManager__RemoveFromGlobalList
32	0x00412610	CBattleEngine__Unk_00412610	CBattleEngine__Unk_00412610
40	0x00424be0	CUnitAI__Unk_00424be0	CUnitAI__Unk_00424be0,FindAnimationIndex
43	0x00415970	CUnitAI__Unk_00415970	CUnitAI__Unk_00415970,FindAnimationIndex,CUnitAI__Helper_004fdeb0
49	0x004178a0	CUnit__Unk_004178a0	CUnit__Unk_004178a0,CUnit__Unk_004fa800,CUnit__Unk_004fd7a0,FindAnimationIndex
50	0x00412570	CBattleEngine__Unk_00412570	CBattleEngine__Unk_00412570
51	0x00425760	CUnitAI__Unk_00425760	CUnitAI__Unk_00425760,SQRT
54	0x00406460	CBattleEngine__Unk_00406460	CBattleEngine__Unk_00406460,CExplosionInitThing__Helper_004725d0,CMCMech__Reset,CInfluenceMap__SetTrackedThingAndClearCachedObject
56	0x0042ee90	CUnitAI__Unk_0042ee90	CUnitAI__Unk_0042ee90,OID__AllocObject,CSPtrSet__Init,CONCAT31,CUnitAI__Unk_0042efd0,stricmp
68	0x00424a20	CUnitAI__Unk_00424a20	CUnitAI__Unk_00424a20,CUnitAI__Unk_00424ca0,CUnitAI__Unk_004250f0,fcos,ABS,CEventManager__AddEvent_AtTime
68	0x00428800	CUnitAI__Unk_00428800	CUnitAI__Unk_00428800,CUnit__Helper_004fd140,CUnit__Unk_004fd040,CUnit__Unk_004fcfe0,SQRT
69	0x004250f0	CUnitAI__Unk_004250f0	CUnitAI__Unk_004250f0,fcos,fsin,Vec3__SetXYZ,Mat34__SetRows
109	0x00406da0	CBattleEngine__Unk_00406da0	CBattleEngine__Unk_00406da0,CBattleEngine__Helper_004fd3d0,CBattleEngine__Helper_005061f0,CONCAT31,SQRT,CBattleEngine__Helper_00506620
112	0x004015e0	CUnit__Unk_004015e0	CUnit__Unk_004015e0,SQRT,CConsole__Printf,CStaticShadows__Helper_0047eb80,ABS,CMonitor__Helper_0047ec60
121	0x004239f0	CUnitAI__Unk_004239f0	CUnitAI__Unk_004239f0
123	0x0042efd0	CUnitAI__Unk_0042efd0	CUnitAI__Unk_0042efd0,OID__AllocObject
153	0x00424ca0	CUnitAI__Unk_00424ca0	CUnitAI__Unk_00424ca0,fcos,CUnitAI__Unk_00408120,fsin,Vec3__SetXYZ,HeightDelta__Below015_D4
196	0x00428110	CUnitAI__Unk_00428110	CUnitAI__Unk_00428110,HeightDelta__Below025_D0,CExplosionInitThing__ctor_like_004fd230,FindAnimationIndex,CInfluenceMap__Init,CUnit__UpdateTransform
259	0x00402fa0	CUnit__Unk_00402fa0	CUnit__Unk_00402fa0,SQRT,CUnit__Unk_004fa8d0,CMeshRenderer__Helper_00403650,CUnit__Helper_004cb0b0,CExplosionInitThing__ctor_like_004fd230
275	0x00406560	CBattleEngine__Unk_00406560	CBattleEngine__Unk_00406560,CVBufTexture_Unk_0050a290__Wrapper_00414b30,CBattleEngine__Unk_00412610,CBattleEngine__Unk_00412570,CGeneralVolume__ResolveCurrentOrFallbackEntry,CBattleEngine__Unk_00414630
