address	expected_name	actual_name	status
0x0055d7e0	CDXTexture__Helper_0055d7e0	CDXTexture__Helper_0055d7e0	OK
0x00560740	CDXTexture__Helper_00560740	CDXTexture__Helper_00560740	OK
0x00560885	CDXTexture__Helper_00560885	CDXTexture__Helper_00560885	OK
0x0056112b	CFastVB__Helper_0056112b	CFastVB__Helper_0056112b	OK
0x0056162e	CDXTexture__Helper_0056162e	CDXTexture__Helper_0056162e	OK
0x00562020	CFastVB__Helper_00562020	CFastVB__Helper_00562020	OK
0x005627ea	CDXTexture__Helper_005627ea	CDXTexture__Helper_005627ea	OK
0x00562a01	CDXTexture__Helper_00562a01	CDXTexture__Helper_00562a01	OK
0x00564a0b	CDXTexture__Helper_00564a0b	CDXTexture__Helper_00564a0b	OK
0x00565821	CDXTexture__Helper_00565821	CDXTexture__Helper_00565821	OK
0x00566fd2	CDXTexture__Helper_00566fd2	CDXTexture__Helper_00566fd2	OK
0x00569256	CDXTexture__Helper_00569256	CDXTexture__Helper_00569256	OK
0x00569432	CDXTexture__Helper_00569432	CDXTexture__Helper_00569432	OK
0x00569ad5	CFastVB__Helper_00569ad5	CFastVB__Helper_00569ad5	OK
0x00569b4c	CFastVB__Helper_00569b4c	CFastVB__Helper_00569b4c	OK
0x0056a15f	CDXTexture__Helper_0056a15f	CDXTexture__Helper_0056a15f	OK
0x0056b2d5	CDXTexture__Helper_0056b2d5	CDXTexture__Helper_0056b2d5	OK
0x0056b368	CDXTexture__Helper_0056b368	CDXTexture__Helper_0056b368	OK
0x0056c684	CDXTexture__Helper_0056c684	CDXTexture__Helper_0056c684	OK
0x0056d25e	CDXTexture__Helper_0056d25e	CDXTexture__Helper_0056d25e	OK
0x0056db76	CDXTexture__Helper_0056db76	CDXTexture__Helper_0056db76	OK
0x0056e34f	CDXTexture__Helper_0056e34f	CDXTexture__Helper_0056e34f	OK
0x0056e8aa	CDXTexture__Helper_0056e8aa	CDXTexture__Helper_0056e8aa	OK
0x0056e8d5	CDXTexture__Helper_0056e8d5	CDXTexture__Helper_0056e8d5	OK
0x0056f500	CFastVB__Helper_0056f500	CFastVB__Helper_0056f500	OK
0x005715b0	CFastVB__Helper_005715b0	CFastVB__Helper_005715b0	OK
0x00572310	CDXTexture__Helper_00572310	CDXTexture__Helper_00572310	OK
0x0057473b	CFastVB__Helper_0057473b	CFastVB__Helper_0057473b	OK
0x00574abb	CDXTexture__Helper_00574abb	CDXTexture__Helper_00574abb	OK
0x00574ae5	CDXTexture__Helper_00574ae5	CDXTexture__Helper_00574ae5	OK
0x00574b9d	CDXTexture__Helper_00574b9d	CDXTexture__Helper_00574b9d	OK
0x0057c28b	CMeshCollisionVolume__Helper_0057c28b	CMeshCollisionVolume__Helper_0057c28b	OK
0x0057c5dc	CMeshCollisionVolume__Helper_0057c5dc	CMeshCollisionVolume__Helper_0057c5dc	OK
0x0057cc8e	CFastVB__Helper_0057cc8e	CFastVB__Helper_0057cc8e	OK
0x0057cca4	CFastVB__Helper_0057cca4	CFastVB__Helper_0057cca4	OK
0x0057d47e	CDXTexture__Helper_0057d47e	CDXTexture__Helper_0057d47e	OK
0x0057d89e	CDXTexture__Helper_0057d89e	CDXTexture__Helper_0057d89e	OK
0x0057de38	CDXTexture__Helper_0057de38	CDXTexture__Helper_0057de38	OK
0x0057df84	CDXTexture__Helper_0057df84	CDXTexture__Helper_0057df84	OK
0x0057e0c3	CFastVB__Helper_0057e0c3	CFastVB__Helper_0057e0c3	OK
0x0057eadb	CFastVB__Helper_0057eadb	CFastVB__Helper_0057eadb	OK
0x0057f002	CFastVB__Helper_0057f002	CFastVB__Helper_0057f002	OK
0x0057f391	CFastVB__Helper_0057f391	CFastVB__Helper_0057f391	OK
0x0058183d	CFastVB__Helper_0058183d	CFastVB__Helper_0058183d	OK
0x0058577f	CFastVB__Helper_0058577f	CFastVB__Helper_0058577f	OK
0x0058584f	CFastVB__Helper_0058584f	CFastVB__Helper_0058584f	OK
0x00585a5f	CFastVB__Helper_00585a5f	CFastVB__Helper_00585a5f	OK
0x0058609e	CFastVB__Helper_0058609e	CFastVB__Helper_0058609e	OK
0x0058641c	CFastVB__Helper_0058641c	CFastVB__Helper_0058641c	OK
0x00586519	CFastVB__Helper_00586519	CFastVB__Helper_00586519	OK
0x00586535	CFastVB__Helper_00586535	CFastVB__Helper_00586535	OK
0x00586551	CFastVB__Helper_00586551	CFastVB__Helper_00586551	OK
0x005867d2	CFastVB__Helper_005867d2	CFastVB__Helper_005867d2	OK
0x00586a55	CFastVB__Helper_00586a55	CFastVB__Helper_00586a55	OK
0x00586b63	CFastVB__Helper_00586b63	CFastVB__Helper_00586b63	OK
0x00586b7f	CFastVB__Helper_00586b7f	CFastVB__Helper_00586b7f	OK
0x00586b9b	CFastVB__Helper_00586b9b	CFastVB__Helper_00586b9b	OK
0x00587663	CFastVB__Helper_00587663	CFastVB__Helper_00587663	OK
0x0058767b	CFastVB__Helper_0058767b	CFastVB__Helper_0058767b	OK
0x00587693	CFastVB__Helper_00587693	CFastVB__Helper_00587693	OK
0x00587e1e	CFastVB__Helper_00587e1e	CFastVB__Helper_00587e1e	OK
0x00587e36	CFastVB__Helper_00587e36	CFastVB__Helper_00587e36	OK
0x0058f1fc	CDXTexture__Helper_0058f1fc	CDXTexture__Helper_0058f1fc	OK
0x00590ea0	CDXTexture__Helper_00590ea0	CDXTexture__Helper_00590ea0	OK
0x00590f80	CDXTexture__Helper_00590f80	CDXTexture__Helper_00590f80	OK
0x00592950	CDXTexture__Helper_00592950	CDXTexture__Helper_00592950	OK
0x00592d9e	CMeshCollisionVolume__Helper_00592d9e	CMeshCollisionVolume__Helper_00592d9e	OK
0x00592dc2	CDXTexture__Helper_00592dc2	CDXTexture__Helper_00592dc2	OK
0x00592eb6	CDXTexture__Helper_00592eb6	CDXTexture__Helper_00592eb6	OK
0x0059371d	CDXTexture__Helper_0059371d	CDXTexture__Helper_0059371d	OK
0x00593753	CDXTexture__Helper_00593753	CDXTexture__Helper_00593753	OK
0x005937bc	CDXTexture__Helper_005937bc	CDXTexture__Helper_005937bc	OK
0x005937c7	CDXTexture__Helper_005937c7	CDXTexture__Helper_005937c7	OK
