address	weak_name	signature	doc_path	line	snippet
0x0044a6b0	CUnitAI__Unk_0044a6b0	int CUnitAI__Unk_0044a6b0(void)	reverse-engineering/binary-analysis/functions/game.cpp/con_navmapoff.md	17	- Calls `ENGINE.UpdateArea(0,0,512,512)` (function at `0x0044a6b0`), passing `0x200` dimensions.
0x0044a6b0	CUnitAI__Unk_0044a6b0	int CUnitAI__Unk_0044a6b0(void)	reverse-engineering/binary-analysis/functions/game.cpp/con_navmapon.md	17	- Calls `ENGINE.UpdateArea(0,0,512,512)` (function at `0x0044a6b0`), passing `0x200` dimensions.
0x00490f40	CUnitAI__Unk_00490f40	void __fastcall CUnitAI__Unk_00490f40(int param_1)	reverse-engineering/binary-analysis/functions/mixermap.cpp/_index.md	123	Sound System Shutdown (0x00490f40)
0x00512040	CVBufTexture__Unk_00512040	int CVBufTexture__Unk_00512040(void)	reverse-engineering/binary-analysis/functions/ltshell.cpp/_index.md	24	| `0x00512040` | Unhandled exception filter - writes crash info to `OnslaughtException.txt` |
0x00512ca0	CVBufTexture__Unk_00512ca0	void __stdcall CVBufTexture__Unk_00512ca0(int param_1)	reverse-engineering/binary-analysis/functions/DXTrees.cpp.md	93	BaseClass::Init();  // 0x00512ca0
0x00512ca0	CVBufTexture__Unk_00512ca0	void __stdcall CVBufTexture__Unk_00512ca0(int param_1)	reverse-engineering/binary-analysis/functions/VertexShader.cpp/_index.md	200	| `0x00512ca0` | CShaderBase__Init | Base class initialization |
0x005428d0	CDXEngine__Unk_005428d0	int CDXEngine__Unk_005428d0(void)	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	145	| `0x005428d0` | (unknown) | imposter.cpp? | Initialize all imposter globals to zero |
0x00542990	CDXEngine__Unk_00542990	void CDXEngine__Unk_00542990(void)	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	146	| `0x00542990` | (unknown) | imposter.cpp? | Destroy all imposters, free vertex buffers |
0x00542a30	CDXEngine__Unk_00542a30	void __fastcall CDXEngine__Unk_00542a30(int param_1)	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	147	| `0x00542a30` | (unknown) | imposter.cpp? | Initialize imposter object fields |
0x00542f90	CDXEngine__Unk_00542f90	int CDXEngine__Unk_00542f90(void)	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	149	| `0x00542f90` | (unknown) | imposter.cpp? | Build imposter quad vertices |
0x005438c0	CDXEngine__Unk_005438c0	void CDXEngine__Unk_005438c0(void)	reverse-engineering/binary-analysis/functions/DXImposter.cpp/_index.md	148	| `0x005438c0` | (unknown) | imposter.cpp? | Render imposters (complex rendering setup) |
