0x00426fd0 OID__AllocObject_DefaultTag_00662b2c
0x00574577 CFastVB__ReturnInputInt
0x00574662 CDXTexture__ConvertSurfaceWithActiveProfile
0x0057473b CDXTexture__NormalizeTextureConversionParams
0x00574da5 CDXTexture__ConvertSurfaceRegionWithActiveProfile
0x00575d2d CFastVB__DispatchIndirect_00656f30
0x00575d51 CFastVB__DispatchIndirect_00656f54
0x00575d75 CFastVB__DispatchIndirect_00656f44
0x0057618b CFastVB__DispatchIndirect_00656f48
0x00579b39 CDXTexture__LookupNamedFormatDescriptor
0x00579bd5 CDXTexture__SetD3D9DebugMute
0x0057cc7b Math__FloorFloatToDouble
0x0057cc8e CFastVB__ClearTripleDword
0x0057cca4 CFastVB__BuildResampleKernelBuckets
0x0057cf60 CDXTexture__CopyDxtBlockRegion
0x0057d216 CFastVB__DispatchMmxKernel_00657974
0x0057d4ad CFastVB__DispatchMmxKernel_00657978
0x0057d9f1 CFastVB__Downsample2x1_R5G6B5
0x0057db30 CFastVB__Downsample2x1_L8
0x0057dbcb CFastVB__Downsample2x1_A1R5G5B5
