0x00411b70 CGeneralVolume__IsStateMachineActive
0x004121b0 CGeneralVolume__EntryIterator_GetSlotFillRatio
0x004122b0 CGeneralVolume__EntryIterator_GetSlotFlag_55C
0x00412310 CGeneralVolume__EntryIterator_GetSlotFlag_544
0x00412370 CGeneralVolume__EntryIterator_GetDistanceProgressRatio
0x00412480 CGeneralVolume__EntryIterator_GetModeId
0x00413cc0 CGeneralVolume__ResetState588AndRefreshCurrentEntry
0x00413cf0 CGeneralVolume__UpdateCurrentEntryProgressAndRefresh
0x00414410 CGeneralVolume__GetCurrentEntrySlotFillRatio
0x00414470 CGeneralVolume__GetCurrentEntryRoundedSlotValue
0x004144c0 CGeneralVolume__GetCurrentEntrySlotFlag_55C
0x00414520 CGeneralVolume__GetCurrentEntryDistanceProgressRatio
0x004145a0 CGeneralVolume__GetCurrentEntryDisplayString
