0x00402fa0 CUnit__UpdateMotionAndTrailEffects
0x0040e910 CUnit__GetGroundedControlFactor
0x004d36c0 CUnit__InitBallisticAimState
0x004d3730 CUnit__ComputeBallisticLaunchVelocity
0x004dfce0 CUnit__TryActivateAndEnableShadows
0x004e2bb0 CUnit__BuildVoiceXapPathIfChanged
0x004e2e60 CUnit__PlayImpactSoundForMaterials
0x004e5c90 LinkedPtrSet__GetValueAtIndex
0x004e6660 CUnit__ResetDamageCooldownTimer
0x004e66e0 CUnit__RenderWithIdentityWorldAndShadowProbe
0x004e9570 CSquadNormal__SetFactionAndRefreshGlobalLists
0x004eb9a0 CUnit__InitDefaultTuningBlock
0x004ef000 CUnit__SetTransitionState1AndNotifyChildren
0x004ef050 CUnit__SetTransitionState3_IfState0Or1
0x004ef0f0 CUnit__SetTransitionState2
0x004ef100 CUnit__RunTransitionStepThreeTimes
0x004f1220 CUnit__GetSpeedScaleByFlag30C
0x004f29c0 CTexture__InitDefaultTextureResourcesAndStatus
0x004f45a0 CUnit__ResumeSavedScriptIfPresent
0x004f6fd0 CUnit__RenderWithDistanceFade
0x004f9430 CUnit__ApplyRandomDestructibleDamageBurst
0x004fa4b0 CUnit__SmoothEulerTowardTargetAndBuildMatrix
0x004fa800 CUnit__UpdateClosingAndUnshuttingState
0x004fa8d0 CUnit__UpdateMotionAttachmentsAndEffects
