0x004a0b30 CMechGuide__ShutdownAndReleaseResources
0x005042f0 CResourceAccumulator__InitVertexShaderPrograms
0x004d8370 CRound__ShutdownAndDetachReaders
0x004e5c30 CSPtrSet__Contains
0x004f6430 CTree__ComputeLodBucket
0x0042e3d0 CController__GetMappedInputValue
0x00423510 CCylinder__AcquireNearestTargetReader
0x004c7900 CRocket__NormalizeVec3InPlace
0x004027c0 VFuncSlot_00_004026e0__AcquireNearestTargetReader
0x004028e0 VFuncSlot_00_004026e0__UpdateGroundClearanceCache
0x00464bc0 CFEPSaveGame__DrawLocalizedStatusPrompt
0x00540c30 CDXFrontEnd__SetupRenderMatricesAndProjection
