# EVIDENCE MANIFEST - the 99 promotable untyped function-pointer slots.
#
# THIS IS NOT A FRAMEWORK-CONSUMABLE MANIFEST AND HAS NO SPEC, DELIBERATELY.
# tools/GhidraApplyCohortManifest.java has exactly six verbs - SET_NAME,
# SET_PROTOTYPE, SET_BODY, DISASSEMBLE_BOUNDED, CLEAR_BOUNDED,
# REMOVE_STALE_BOOKMARK - and NONE of them can define or type data.  Verified in
# the source rather than assumed: the only `PointerDataType` use in the whole
# applier is `getPointer` while building a parameter TYPE for SET_PROTOTYPE, and
# there is no `createData`, no `DataUtilities`, no `setDataType` and no
# `addMemoryReference` anywhere in it.  Typing an .rdata/.data dword is the
# capability this cohort needs and the framework lacks, so per the standing rule
# this lane STOPPED rather than inventing a seventh verb or a new applier.  A
# spec is deliberately absent because any spec written today would have to
# declare a verb that does not exist.
#
# NOTE ON THIS COMMENT BLOCK.  The framework's manifest reader treats line 0 as
# the column header and does NOT skip `#` lines (only the SPEC reader does).  If a
# data verb ever lands, this block must move into the spec and be deleted from
# here, or GATE 4 will refuse on header drift.
#
# PROVENANCE.  Rows are the 99 `action=ADD` rows of
# scratchpad/xref-cohort/xref-correction-manifest.tsv, sha256
# e080b101db323c05e889492537d184cade6db560527d571faf727d1829ed386d (111 rows: 99
# ADD, 12 UNRESOLVED, zero retype).  That input hash was re-derived here and
# matches.  The 12 UNRESOLVED rows are excluded and are listed at the bottom of
# this file as comments with their reason.
#
# MEASURED BY THIS LANE on a replica restored from
# D:\BEA-Ghidra-Backups\2026-08-17-tentacle-chain-a-post-live (db.18623), never
# on live:
#   * safety, INDEPENDENTLY CONFIRMED - all 99 slots report status=UNDEFINED
#     under tools/DiagnoseAddressListingState.java: no data at the slot, no
#     defined data containing it, no instruction at or containing it, no function
#     containing it.  Zero violations.  65 slots are in .rdata, 34 in .data.
#   * code reads, INDEPENDENTLY CONFIRMED - tools/ExportXrefsForAddresses.java
#     finds exactly 29 of the 99 slots referenced from inside a function body
#     (42 INDIRECTION + 3 DATA references over 44 distinct reading functions);
#     the other 70 have no inbound reference at all.
#   * effect, MEASURED on a throwaway replica - typing all 99 as `pointer` moves
#     definedData 48583 -> 48682 (+99) and references 234493 -> 234592 (+99),
#     with undefinedData 3907629 -> 3907233 (-396 = 99 x 4 bytes) and
#     instructions unchanged at 551232.  An independent 8,329-row / 40-column
#     function-inventory diff shows NO function row moved on any column.
#   * decompilation drift, MEASURED before and after on that replica for all 44
#     reading functions - 44 of 44 change and the change is strictly an
#     improvement: total decompiled lines 1098 -> 1050 because the
#     "Globals starting with '_' overlap smaller symbols at the same address"
#     warning is eliminated, `(*_DAT_00657014)()` becomes
#     `(*(code *)PTR_CFastVB__DispatchIndirect_00657014_00657014)()`, and
#     CFEPLevelSelect's vtable store becomes
#     `*(undefined ***)this = &PTR_CFEPLevelSelect__Init_005db584`.  No regression
#     was observed in any of the 44.
#
# THE RESIDUAL RISK IS REAL AND IS NOT A HYPOTHETICAL.  The named risk was that
# pre-typing individual dwords could block a later RTTI structure application over
# the same bytes.  Measured from pristine bytes by walking each slot's maximal run
# of consecutive aligned .text-entry dwords and resolving the dword before the run
# head as an MSVC Complete Object Locator (COL -> +0x0C type descriptor -> +0x08
# mangled name): 65 of the 99 slots sit inside a PROVEN RTTI vftable, implicating
# 59 distinct classes.  Run lengths are 706 (3 slots), 46 (15), 24 (12), 9 (3),
# 7 (1), 3 (12), 2 (51), 1 (2).  So the majority of this cohort is not "loose
# pointers Ghidra missed" - it is vftable entries, and the higher-value mutation
# is to apply the vftable with its recovered class identity rather than to add 99
# isolated dwords.  `rttiVftableClass` below carries the class per row so that
# decision can be made per row instead of in bulk.
#
# The `pointer` type used for the measurement is the generic 4-byte pointer, NOT a
# function-pointer type with a signature; nothing here proposes a signature for
# any target.
refFrom	refTo	targetName	currentType	proposedType	action	sourceBytes	confidence	slotStateMeasured	codeReadsSlot	ptrRunStart	ptrRunLen	rttiVftableClass
005d87cc	0053f160	VFuncSlot_01_0053f160	<none>	DATA	ADD	60f15300b0ac4b00	HIGH	UNDEFINED	0	005d87c8	3	.?AVCAnimation@@
005d87d0	004bacb0	CMonitor__Shutdown_Core	<none>	DATA	ADD	b0ac4b0000000000	MEDIUM	UNDEFINED	0	005d87c8	3	.?AVCAnimation@@
005d8c84	0040e280	CInitThing__LoadFromMemBuffer	<none>	DATA	ADD	80e24000ec51b83d	HIGH	UNDEFINED	0	005d8c80	2	.?AVCExplosionInitThing@@
005d9744	0042c460	CConsoleMenu__UnlinkChild	<none>	DATA	ADD	60c4420078d36000	HIGH	UNDEFINED	0	005d972c	7	.?AVCConsoleRootMenu@@
005dab00	00405930	SharedVFunc__ReturnZero_00405930	<none>	DATA	ADD	3059400030226100	HIGH	UNDEFINED	0	005daafc	2	.?AVCSeekNothing@@
005dab0c	004014a0	SharedVFunc__Return1_004014a0	<none>	DATA	ADD	a0144000e0216100	HIGH	UNDEFINED	0	005dab08	2	.?AVCSeekTarget@@
005dab18	004059c0	SharedVFunc__Return2_004059c0	<none>	DATA	ADD	c0594000c8226100	HIGH	UNDEFINED	0	005dab14	2	.?AVCSeekTargetOnly@@
005dab24	0055df1f	CRT__Purecall_0055df1f	<none>	DATA	ADD	1fdf5500b8236100	HIGH	UNDEFINED	0	005dab20	2	.?AVCPhysicsSeekType@@
005dab30	0052d990	FUN_0052d990	<none>	DATA	ADD	90d95200f8246100	HIGH	UNDEFINED	0	005dab2c	2	.?AVCSimpleBuildingBehaviourType@@
005dab3c	0052d950	FUN_0052d950	<none>	DATA	ADD	50d9520058246100	HIGH	UNDEFINED	0	005dab38	2	.?AVCPodBehaviourType@@
005dab48	0050ffc0	FUN_0050ffc0	<none>	DATA	ADD	c0ff500098256100	HIGH	UNDEFINED	0	005dab44	2	.?AVCFenrirBehaviourType@@
005dab54	0052da00	FUN_0052da00	<none>	DATA	ADD	00da520038266100	HIGH	UNDEFINED	0	005dab50	2	.?AVCWarspiteDomeBehaviourType@@
005dab60	004df500	FUN_004df500	<none>	DATA	ADD	00f54d00d8266100	HIGH	UNDEFINED	0	005dab5c	2	.?AVCWarspiteBehaviourType@@
005dab6c	0052dac0	FUN_0052dac0	<none>	DATA	ADD	c0da5200c8276100	HIGH	UNDEFINED	0	005dab68	2	.?AVCSentinelBehaviourType@@
005dab78	0052db10	FUN_0052db10	<none>	DATA	ADD	10db520068286100	HIGH	UNDEFINED	0	005dab74	2	.?AVCGillMBehaviourType@@
005dab84	0052db60	CWaypoint__GetTypeId12_0052db60	<none>	DATA	ADD	60db5200b8286100	HIGH	UNDEFINED	0	005dab80	2	.?AVCCarverBehaviourType@@
005dab90	00418410	FUN_00418410	<none>	DATA	ADD	1084410008296100	HIGH	UNDEFINED	0	005dab8c	2	.?AVCThunderHeadBehaviourType@@
005dab9c	0052dbf0	FUN_0052dbf0	<none>	DATA	ADD	f0db520058296100	HIGH	UNDEFINED	0	005dab98	2	.?AVCDiveBomberBehaviourType@@
005daba8	004ead60	FUN_004ead60	<none>	DATA	ADD	60ad4e00a8296100	HIGH	UNDEFINED	0	005daba4	2	.?AVCSubmarineBehaviourType@@
005dabb4	0052dc80	FUN_0052dc80	<none>	DATA	ADD	80dc5200f8296100	HIGH	UNDEFINED	0	005dabb0	2	.?AVCHiveBossBehaviourType@@
005dabc0	0052dcd0	FUN_0052dcd0	<none>	DATA	ADD	d0dc5200b02a6100	HIGH	UNDEFINED	0	005dabbc	2	.?AVCMineBehaviourType@@
005dabcc	0052dd20	FUN_0052dd20	<none>	DATA	ADD	20dd520028276100	HIGH	UNDEFINED	0	005dabc8	2	.?AVCDropshipBehaviourType@@
005dabd8	004c4a40	FUN_004c4a40	<none>	DATA	ADD	404a4c00482a6100	HIGH	UNDEFINED	0	005dabd4	2	.?AVCJeepBehaviourType@@
