registryIndex	command	entry	labelRelation	sourceCoordinatePlates	crossBuildCoordinate	staticContract	visibleFailureOrNoOp	remainingUnknown	cheapestFalsifier	grade	evidenceClass
116	GotoPlayerCamera	0x005342b0	CONSISTENT	-	-	Loads global 0x008A9D3C and makes one unconditional direct call to 0x004D2A50; no branch or direct write is present; closes with RET 0x0C.	No local guard or alternate path is present.	Callee semantics; receiver validity; runtime reachability; original C++ spelling; reconstruction parity.	Inspect 0x004D2A50 receiver use, then invoke the command on a copied runtime while observing the player-view state.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
112	SwitchMessagesOn	0x005342c0	BROADER	-	-	Tests global pointer 0x008A9D84; when nonzero makes one direct call to 0x004B7B60; otherwise returns; closes with RET 0x0C.	Null global is a silent no-op.	Whether the callee enables messages generally or only requests queue advancement; runtime reachability; reconstruction parity.	Confirm the exact callee write and probe the queue-advance flag before and after the script command.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
113	SwitchMessagesOff	0x005342e0	BROADER	-	-	Tests global pointer 0x008A9D84; when nonzero makes one direct call to 0x004B7B70; otherwise returns; closes with RET 0x0C.	Null global is a silent no-op.	Whether the callee disables messages generally or only clears one queue flag; runtime reachability; reconstruction parity.	Confirm the exact callee write and probe the queue-advance flag before and after the script command.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
109	SetSegmentVulnerable	0x00534300	BROADER	-	-	Requires receiver+0x10 flags+0x34 bit 0x10 and nonnull receiver+0x178; reads a boolean-like VM value through vslot 0x3C and a string-like VM value through vslot 0x38, then passes them to direct callee 0x004445B0; closes with RET 0x0C.	Failed flag or null-controller gate is a silent no-op.	Meaning of the callee's segment flag; admissible receiver classes; malformed arguments; runtime reachability; reconstruction parity.	Inspect 0x004445B0 writes and toggle one named segment in a copied runtime.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
129	SetVelocity	0x00534340	BROADER	-	-	Requires receiver+0x10 flags+0x34 bit 0x10; decodes the first VM value through vslot 0x44 into a local vector-shaped value and forwards it to receiver vslot 0x70; closes with RET 0x0C.	Failed flag gate is a silent no-op.	Exact hidden vector ABI; vslot 0x70 semantics; admissible receiver classes; runtime reachability; reconstruction parity.	Reconstruct the vslot 0x44 return convention and resolve vslot 0x70 across the receiver vtables.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
104	Normalise	0x00534500	CONSISTENT	iscript.cpp:636@0x0053456b	ISSUE11_US_RETAIL	Decodes a vector-shaped VM value through vslot 0x44; computes the square root of three squared components; when nonzero scales those components by reciprocal magnitude; allocates a 0x14-byte value wrapper and stores it through the output slot; closes with RET 0x0C.	Wrapper-allocation failure stores a null output; the zero-magnitude path skips reciprocal scaling.	Exact fourth wrapper word and type layout; NaN/denormal behavior; runtime reachability; source equivalence; reconstruction parity.	Call with zero, unit, and nonunit vectors while recording returned bytes and FPU results.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
89	GetAngle	0x00534680	CONSISTENT	iscript.cpp:659@0x00534727	-	Initializes a float result to zero; if a first VM vslot-0x40 lookup yields a nonnull object, performs a second vslot-0x40 lookup, immediately dereferences that second result, uses two FPATAN operations over receiver orientation fields and relative position fields, applies visible wrap/absolute/scale arithmetic, then allocates an 8-byte float wrapper for the result; closes with RET 0x0C.	A null first lookup retains zero; a null second lookup would be dereferenced without a local guard; wrapper-allocation failure stores a null output.	Constant meanings and units; exact orientation convention; repeated lookup reason; runtime reachability; source equivalence; reconstruction parity.	Probe null, collinear, opposite, and quarter-turn target lookups and compare raw return bits.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
61	SetY	0x00534dc0	CONSISTENT	iscript.cpp:785@0x00534de5	-	Decodes a vector-shaped VM value through vslot 0x44 and a float-like VM value through vslot 0x34; replaces one copied component with the decoded float; allocates a 0x14-byte vector-shaped wrapper and stores it through the output slot; closes with RET 0x0C.	Wrapper-allocation failure stores a null output.	Exact component layout and fourth word; malformed arguments; runtime reachability; source equivalence; reconstruction parity.	Reconstruct the four local words and compare a known XYZ input/output tuple in a copied runtime.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
95	Stop	0x00534f30	BROADER	-	-	Loads receiver+0x10 and invokes its vslot 0xF4 with receiver fields +0x1C, +0x20, +0x24, +0x28 and literal zero; closes with RET 0x0C.	No local guard or alternate path is present.	Vslot 0xF4 semantics; field meanings; admissible receiver classes; runtime reachability; reconstruction parity.	Resolve vslot 0xF4 for every reachable receiver vtable and inspect its state writes.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
96	Deploy	0x00534f70	CONSISTENT	-	-	Tests receiver+0x10 flags+0x34 bit 0x10 and, when set, makes one direct call to 0x004FDE30; closes with RET 0x0C.	Failed flag gate is a silent no-op.	Full callee state machine; admissible receiver classes; runtime reachability; original C++ spelling; reconstruction parity.	Inspect 0x004FDE30 state writes and probe idle and non-idle deployment states.	C1_CANDIDATE_PARTIAL	STATIC_HYPOTHESIS_ONLY
