retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x0042d640	0x0042d630	CController__Init	CController::CController	Controller.cpp:22	308	89	24	0	RELEASE_ABI_DIVERGENCE_DEMO_TWIN	Constructs the monitored control stack and memory buffer, installs the shared vtable, pushes the initial target, stores input/binding bank at +0x16c and configuration at +0x174, and initializes repeat/button/record/playback state; released ABI has three stack arguments after this and no retained reverse-look-Y constructor argument
0x0042d780	0x0042d770	CController__scalar_deleting_dtor	CController scalar deleting destructor	compiler-generated	32	11	4	0	COMPILER_WRAPPER_DEMO_TWIN	Calls the shared destructor, conditionally frees this when deleting flag bit 0 is set, and returns this
0x0042d7a0	0x0042d790	CController__ResetInactivityTimerConditional	CController::ResetInactivityTimer	Controller.cpp:41	37	9	9	0	RELEASE_GUARD_DIVERGENCE_DEMO_TWIN	Stores current system time in interactive sections but stores 0.0 while the released non-interactive flag is set; retained source always stores current time
0x0042d7d0	0x0042d7c0	CController__SetNonInteractiveSection	CController::SetNonInteractiveSection	Controller.cpp:47	63	20	14	0	SOURCE_BODY_DEMO_TWIN	Acts only on a flag change and, outside attract mode, converts last-input time to elapsed/remaining form on both entry and exit before storing the new non-interactive state
0x0042d810	0x0042d800	CController__InactivityMeansQuitGame	CController::InactivityMeansQuitGame	Controller.cpp:87	136	41	30	0	RELEASE_MODE_EXTENSION_DEMO_TWIN	Enables inactivity quit for playable-demo mode or the released -e3 flag, rejects non-interactive or nonpositive timeout state, and returns true only when elapsed milliseconds are strictly greater than the configured timeout
0x0042d8a0	0x0042d890	CController__StartRecording	CController::StartRecording	Controller.cpp:120	25	7	2	0	RELEASE_FILE_API_DIVERGENCE_DEMO_TWIN	Sets recording and opens the controller memory buffer for writing with mode 0x11; retained source calls InitFromMem
0x0042d8c0	0x0042d8b0	CController__StartPlayback	CController::StartPlayback	Controller.cpp:128	29	9	2	0	SOURCE_BODY_DEMO_TWIN	Sets playback and initializes the memory buffer from the named file with released arguments 0x11, 1, 0
0x0042d8e0	0x0042d8d0	CController__dtor	CController::~CController	Controller.cpp:136	203	68	14	0	SOURCE_BODY_DEMO_TWIN	Closes an active record/playback buffer, unregisters and frees every monitored control-stack reader, clears the stack, and destroys the memory buffer
0x0042d9d0	0x0042d9c0	CController__Flush	CController::Flush	Controller.cpp:148	34	12	0	0	SOURCE_BODY_DEMO_TWIN	Copies three current virtual-button words to their old words, clears the current words, and dispatches virtual DoMappings at slot 15
0x0042db40	0x0042db30	CController__DoMappings	CController::DoMappings	Controller.cpp:218	2046	601	111	0	RELEASE_MAPPING_ENGINE_EXTENSION_DEMO_TWIN	Scans 47 released 32-byte action rows with two 12-byte binding banks, performs playback/repeat/push-type dispatch across joystick, keyboard, mouse axes/buttons/transitions/wheel, emits the dual-Shift frontend cheat, and records three virtual-button words last; retained source has only static configuration rows and push types 0..9
0x0042e3d0	0x0042e3c0	CController__GetMappedInputValue	CController::GetMappedInputValue	Controller.cpp:421	196	62	11	0	RELEASE_ANALOGUE_EXTENSION_DEMO_TWIN	Resolves six negative analogue input codes through virtual slots, applies an exact inclusive +/-0.15 deadzone and 1/0.85 remap, and maps nonnegative held inputs to 1.0 or 0.0; retained source exposes four cached axes and a 0.36 deadzone
0x0042e4b0	0x0042e4a0	CController__GetToControl	CController::GetToControl	Controller.cpp:437	20	10	0	0	SOURCE_BODY_DEMO_TWIN	Returns the current monitored control-stack head target; the empty-stack path has no supported target and callers are expected to preserve the stack invariant
0x0042e4d0	0x0042e4c0	CController__SendButtonAction	CController::SendButtonAction	Controller.cpp:443	312	117	30	0	SOURCE_BODY_RELEASE_GATES_DEMO_TWIN	Sets one of three virtual-button words, refreshes inactivity except during zero mouse recenter suppression, routes action IDs below 16 to frontend target or CGame, and gates ordinary actions through reconnect and pause-controllability checks
0x0042e610	0x0042e600	CController__SetToControl	CController::SetToControl	Controller.cpp:491	204	63	19	0	SOURCE_BODY_DEMO_TWIN	Allocates a monitored active-reader cell, registers it with the target deletion monitor, and pushes it at the controller-stack head
0x0042e6e0	0x0042e6d0	CController__RelinquishControl	CController::RelinquishControl	Controller.cpp:517	103	38	21	0	SOURCE_BODY_DEMO_TWIN	Pops, unregisters, destroys, and frees the head active reader and logs fatal diagnostics for an initially empty or newly emptied stack
0x0042e750	0x0042e740	CController__SetVibration	CController::SetVibration	Controller.cpp:540	62	19	5	0	SOURCE_BODY_DEMO_TWIN	Ignores nonzero requests outside GAME_STATE_PLAYING, permits zero to stop vibration, and sends requested amplitude only when the selected career vibration option is enabled
0x004f00d0	0x004f0100	CController__dtor_Thunk	CController destructor direct-transfer thunk	compiler-generated	5	1	2	0	DIRECT_TRANSFER_DEMO_TWIN	Single unconditional jump to CController::~CController, used by derived deletion and unwind paths
