retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x004bb380	0x004bb290	CMusic__Init	CMusic::Initialise	Music.cpp:111	125	33	12	0	RELEASE_SOURCE_SUBSET_DEMO_TWIN	Clears playback and playlist state, selects linear mode, calls DeviceInitialise, seeds current/target volume 127, converts persisted career volume linearly to set volume, clears queued song, and marks initialized; retained console registration block is absent from this released body
0x004bb400	0x004bb310	CMusic__Shutdown	CMusic::Shutdown	Music.cpp:144	70	32	4	0	SOURCE_BODY_DEMO_TWIN	Stops active playback, calls DeviceShutdown, frees the complete 0x104-linked playlist, and clears the head
0x004bb450	0x004bb360	CMusic__Play	CMusic::DeviceChangeTrack	Music.cpp:166	56	23	0	0	CORRECTED_IDENTITY_SOURCE_BODY_DEMO_TWIN	Only data xref is CPCMusic vtable slot 7; stops active playback, restores set volume into current/target, sets device volume, plays the supplied filename, and marks playing; saved CMusic__Play name is wrong
0x004bb490	0x004bb3a0	CMusic__Stop	CMusic::Stop	Music.cpp:202	21	10	0	0	SOURCE_BODY_DEMO_TWIN	No-op when idle; otherwise calls DeviceStop and clears mPlaying
0x004bb4b0	0x004bb3c0	CMusic__FadeVolumes	CMusic::FadeVolumes	Music.cpp:214	118	48	0	0	SOURCE_BODY_DEMO_TWIN	When initialized, snaps differences below 10, steps current volume by 5 toward target, starts a queued song at zero, clears the queue, and restores target to set volume after reaching it
0x004bb530	0x004bb440	CMusic__UpdateStatus	CMusic::UpdateStatus	Music.cpp:242	371	151	14	0	RELEASE_SOURCE_PLUS_OVERRIDE_DEMO_TWIN	Calls DeviceUpdateStatus, applies fade and 0..127 clamp, then handles finished-track modes single, linear, random, and selection; released body inlines helpers and forces data/music/BEA 08(Master).wma under dev-mode or all-cheats
0x004bb6b0	0x004bb5c0	CMusic__AddToPlayList	CMusic::AddToPlayList	Music.cpp:306	265	87	16	0	SOURCE_BODY_DEMO_TWIN	Rejects case-insensitive duplicates, allocates a 0x10c-byte CSong, inserts alphabetically through the +0x104 link, copies the path, and reports addition
0x004bb7c0	0x004bb6d0	CMusic__LoadPlaylistFromDir	CMusic::AddDirectoryToPlaylist	Music.cpp:373	18	6	2	0	RELEASE_FORMAT_DIVERGENCE_DEMO_TWIN	Calls DeviceAddDirectoryExtsToPlaylist exactly once with the supplied directory and released token ogg at 0x00630A04; retained PC source instead requests mp3 then wav
0x004bb7e0	0x004bb6f0	CMusic__PlayFromList	CMusic::PlayFromList	Music.cpp:430	209	80	8	0	COMPILED_SOURCE_ASSIGNMENT_DEMO_TWIN	Fade path queues a different requested song and targets zero; direct null-song path unconditionally stores random mode because the retained mPlayType=MPT_RANDOM assignment is compiled literally, chooses a random entry, and uses the released dev/all-cheats WMA override before starting or changing track
0x004bb8c0	0x004bb7d0	CMusic__PlaySelection	CMusic::PlaySelection	Music.cpp:493	313	117	21	0	RELEASE_SOURCE_PLUS_OVERRIDE_DEMO_TWIN	Maps frontend/credits/tutorial/stealth/ingame selections to released track indices, queues or starts the selected song, stores selection mode/state, and uses the released dev/all-cheats WMA override
0x004bba10	0x004bb920	CMusic__SetVolume	CMusic::SetVolume	Music.cpp:557	65	17	10	0	RELEASE_ALGORITHM_DIVERGENCE_DEMO_TWIN	Released PC and demo compute round(volume * 127), store set volume, log it, and persist the career float; retained non-PS2 source tangent curve was not shipped in these builds
