retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x0048de00	0x0048dc20	CTokenArchive__ReadLine	TokenArchive bounded line reader and LF stripper	TokenArchive.cpp source-path remnant; retail body	48	20	2	0	STATIC_SEMANTIC_DEMO_TWIN	Calls CDXMemBuffer::ReadLine with the caller buffer and bound, then strips one terminal LF; receiver is ECX despite the stale stdcall prototype
0x004f52b0	0x004f5350	CTokenArchive__GetTokenName	particle token ID-to-name lookup	TokenArchive.cpp source-path remnant; retail strings and switch	770	254	252	0	STATIC_SEMANTIC_DEMO_TWIN	Maps IDs 0..123 to the exact particle grammar names and returns **Unknown Token** outside that range
0x004f57b0	0x004f5850	CTokenArchive__ReadNextToken	particle token lexer/parser and deferred-reference allocator	TokenArchive.cpp source-path remnant; retail parser; shipped .par corpus	789	267	75	0	STATIC_SEMANTIC_DEMO_TWIN	Reads one line, performs a case-sensitive 124-name lookup, dispatches six successful value shapes plus failure, and records optional/name references in a fixed 10000-slot workspace
0x004f5b70	0x004f5c10	CTokenArchive__BindIndexedFieldPointer	deferred-reference destination binder	TokenArchive.cpp source-path remnant; retail body and descriptor callers	15	4	0	0	STATIC_SEMANTIC_DEMO_TWIN	Stores field_ptr at this+0x0c+slot_index*4
0x004f5b80	0x004f5c20	CTokenArchive__RegisterReferenceFixup	fixup-record value and destination binder	TokenArchive.cpp source-path remnant; retail body and descriptor callers	24	7	0	0	STATIC_SEMANTIC_DEMO_TWIN	Stores ref_value at fixup_record+0 and fixup_record+4 as the destination for slot_index
0x004f5ba0	0x004f5c40	CTokenArchive__ResolveReferences	case-insensitive particle-name reference resolver	TokenArchive.cpp source-path remnant; retail body and sorted particle list	205	76	17	0	STATIC_SEMANTIC_DEMO_TWIN	Builds a pointer array from +0x38-linked objects, bsearches each pending name, writes object or null to its bound destination, frees names and scratch array, then clears pending count
0x004f5c70	0x004f5d10	HYP__FirstCall_stricmp_004f5c70	TokenArchive bsearch key-to-particle-name comparator	retail body; sole ResolveReferences predicate use	24	9	2	0	STATIC_SEMANTIC_DEMO_TWIN	Calls stricmp(key, (*(object_pointer))+4); this supplies the exact order relation used by ResolveReferences
0x004f5c90	0x004f5d30	CTokenArchive__WriteInt	discarded integer token-line formatter	TokenArchive.cpp source-path remnant; retail body and 60 direct callers	49	14	3	0	STATIC_SEMANTIC_DEMO_TWIN	Formats token name and integer as %s %d into a 400-byte stack buffer; no archive receiver, sink, return value, or persistent output exists
0x004f5cd0	0x004f5d70	CTokenArchive__WriteFloat	discarded float token-line formatter	TokenArchive.cpp source-path remnant; retail body and 17 direct callers	54	15	3	0	STATIC_SEMANTIC_DEMO_TWIN	Formats token name and float as %s %f into a 400-byte stack buffer; no archive receiver, sink, return value, or persistent output exists
0x004f5d10	0x004f5db0	CTokenArchive__WriteString	discarded string token-line formatter	TokenArchive.cpp source-path remnant; retail body and 4 direct callers	49	14	3	0	STATIC_SEMANTIC_DEMO_TWIN	Formats token name and string as %s %s into a 400-byte stack buffer; no archive receiver, sink, return value, or persistent output exists
0x004f5d50	0x004f5df0	CTokenArchive__WritePointer	discarded named-reference token-line formatter	TokenArchive.cpp source-path remnant; retail body and 21 direct callers	106	30	6	0	STATIC_SEMANTIC_DEMO_TWIN	Formats token plus object name at object+4 or literal NONE into a 400-byte stack buffer; no persistent output exists
0x004f5dc0	0x004f5e60	CTokenArchive__WriteFloatPointer	discarded float-plus-reference token-line formatter	TokenArchive.cpp source-path remnant; retail body and 39 direct callers	125	37	6	0	STATIC_SEMANTIC_DEMO_TWIN	Formats token, float, and object name or NONE into a 400-byte stack buffer; no persistent output exists
