retail_va	demo_va	retail_current_name	semantic_label	source_anchor	body_bytes	instruction_count	raw_diff_bytes	normalized_diff_bytes	semantic_status	evidence_boundary
0x004e00d0	0x004dff70	CSoundManager__Init	CSoundManager::Init	SoundManager.cpp:59	503	154	82	0	SOURCE_BODY_RETAIL_PC_EXTENSIONS_DEMO_TWIN	Clears manager state, loads data/sounds/sounds.sfx, allocates 256 pooled 0x88-byte events, registers debug controls, seeds category volumes, and calls the PC device initializer; failure clears initialized state
0x004e0300	0x004e01a0	CSoundManager__UpdateVolumeForAllSoundEvents	CSoundManager::UpdateVolumeForAllSoundEvents	SoundManager.cpp:129	443	142	15	0	SOURCE_BODY_DEMO_TWIN	Walks active events, computes distance attenuation for tracked positions, combines event sub/master volume with manager master and game/menu category scale, stores pre/post-distance volumes, and updates assigned playing channels
0x004e04c0	0x004e0360	CSoundManager__SetMasterVolume	CSoundManager::SetMasterVolume	SoundManager.cpp:156	488	152	24	0	RELEASE_ALGORITHM_DIVERGENCE_DEMO_TWIN	Stores the supplied float directly as manager master volume, logs and persists it, then recomputes all event volumes; retained PC source instead applies a nonlinear tangent transform
0x004e06b0	0x004e0550	CSoundManager__DeleteAllSamples	CSoundManager::DeleteAllSamples	SoundManager.cpp:178	42	22	0	0	SOURCE_BODY_DEMO_TWIN	Walks the sample list, invokes each virtual deleting destructor, and clears the sample head
0x004e06e0	0x004e0580	CSoundManager__Shutdown	CSoundManager::Shutdown	SoundManager.cpp:194	309	115	21	0	SOURCE_BODY_RETAIL_PC_EXTENSIONS_DEMO_TWIN	Returns active events to the pool, frees the pool, deletes all samples, releases backend voice buffers and debug menu, frees the effect list, and clears initialized state
0x004e0890	0x004e0730	CSoundManager__CreateSample	CSoundManager::CreateSample	SoundManager.cpp:248	358	127	29	0	SOURCE_BODY_RETAIL_REUSE_DEMO_TWIN	Chooses sound/music path context, creates through the PC backend from path or supplied buffer, optionally reuses a same-name sample, stores defaults/name, links new samples, and marks _L/_R stereo-side variants
0x004e0a00	0x004e08a0	CSoundManager__GetOrCreateSample	CSoundManager::GetSample	SoundManager.cpp:300	142	68	6	0	RELEASE_RELOAD_EXTENSION_DEMO_TWIN	Requires initialized state and a nonempty name, performs case-insensitive lookup, optionally reloads an existing entry, and gates missing-sample creation through released load-policy globals
0x004e0a90	0x004e0930	CSoundManager__PlayNamedSample	CSoundManager::PlayNamedSample	SoundManager.cpp:337	151	59	14	0	SOURCE_BODY_DEMO_TWIN	Resolves the named sample through GetOrCreateSample and forwards the complete tracking, once, fade, range, repeat, pitch, completion, owner-position, and category payload to PlaySample
0x004e0b30	0x004e09d0	CSoundManager__PlaySample	CSoundManager::PlaySample	SoundManager.cpp:359	159	64	3	0	SOURCE_BODY_DEMO_TWIN	Requires initialized state, suppresses non-repeating samples during pre-running state, enforces once-per-sample/owner when requested, and starts a new event
0x004e0bd0	0x004e0a70	CSoundManager__StartSoundEvent	CSoundManager::StartSoundEvent	SoundManager.cpp:451	917	294	31	0	SOURCE_BODY_DEMO_TWIN	Allocates and initializes an event, derives initial fade/range/tracking/pitch/owner state, updates spatial position, recycles inaudible non-looping starts, computes volume, starts an assigned channel, and returns the event or null
0x004e0f70	0x004e0e10	CSoundManager__StopSoundEvent	CSoundManager::StopSoundEvent	SoundManager.cpp:547	63	24	5	0	SOURCE_BODY_STATIC_ABI_DEMO_TWIN	Static-like released ABI takes event and block flag on the stack, not manager this; invokes the requested owner callback, forwards stop to an assigned PC channel, clears playing, and clears the owner reader
0x004e0fb0	0x004e0e50	CSoundManager__AllocateSoundEvent	CSoundManager::GetSoundEvent	SoundManager.cpp:598	134	54	4	0	CORRECTED_IDENTITY_SOURCE_BODY_DEMO_TWIN	Pops the free-event pool, links at the head or after currently assigned events, increments active count, and returns null with the out-of-events warning when the fixed pool is exhausted
0x004e1040	0x004e0ee0	CSoundManager__SortEventList	CSoundManager::SortEventList	SoundManager.cpp:669	237	98	11	0	SOURCE_BODY_DEMO_TWIN	Performs one forward adjacent-swap pass by attenuated volume, limits channel ownership to three quarters of backend capacity, stops assigned events below that budget, and starts unpaused budgeted events when a channel is free
0x004e1130	0x004e0fd0	CSoundManager__KillSamplesForThing	CSoundManager::KillSamplesForThing	SoundManager.cpp:797	87	36	5	0	SOURCE_BODY_DEMO_TWIN	Stops every playing event for an owner through completion callback, nonblocking channel release, playing clear, and owner-reader clear
0x004e1190	0x004e1030	CSoundManager__KillSample	CSoundManager::KillSample	SoundManager.cpp:814	98	41	5	0	SOURCE_BODY_DEMO_TWIN	Stops every playing event matching owner and sample with the ordinary nonblocking stop path
0x004e1200	0x004e10a0	CSoundManager__KillAllInstancesOfSample	CSoundManager::KillAllInstancesOfSample	SoundManager.cpp:833	81	33	5	0	SOURCE_BODY_DEMO_TWIN	Stops every event matching the sample pointer, forwarding block-until-stopped true for assigned channels, then clears playing and ownership
0x004e1260	0x004e1100	CSoundManager__FadeTo	CSoundManager::FadeTo	SoundManager.cpp:851	77	27	0	0	SOURCE_BODY_DEMO_TWIN	Matches sample plus owner, stores the fade destination, and chooses positive or negative signed speed from current subvolume versus destination
0x004e12b0	0x004e1150	CSoundManager__KillAllSamples	CSoundManager::KillAllSamples	SoundManager.cpp:888	68	28	5	0	SOURCE_BODY_DEMO_TWIN	Stops all active events with requested callbacks, nonblocking channel release, playing clear, and owner-reader clear
0x004e1300	0x004e11a0	CSoundManager__PauseAllSamples	CSoundManager::PauseAllSamples	SoundManager.cpp:905	44	15	3	0	SOURCE_BODY_DEMO_TWIN	Pauses every assigned backend channel and sets each event paused flag
0x004e1330	0x004e11d0	CSoundManager__UnPauseAllSamples	CSoundManager::UnPauseAllSamples	SoundManager.cpp:922	44	15	3	0	SOURCE_BODY_DEMO_TWIN	Unpauses every assigned backend channel and clears each event paused flag
0x004e1360	0x004e1200	CSoundManager__UpdateSoundPosition	CSoundManager::UpdateSoundPosition	SoundManager.cpp:939	1177	361	41	0	SOURCE_BODY_STATIC_ABI_DEMO_TWIN	Released stack-only ABI updates tracked position/velocity, chooses the nearest multiplayer camera, transforms into camera-local space, handles stereo-side offsets and X inversion, and recalculates pan for followed owners
0x004e1800	0x004e16a0	CSoundManager__StopSample	CSoundManager::StopSample	SoundManager.cpp:1065	120	50	7	0	SOURCE_BODY_DEMO_TWIN	Finds playing events by case-insensitive sample name plus owner and runs callback/channel release/playing clear/reader clear
0x004e1880	0x004e1720	CSoundManager__GetSoundEventForThing	CSoundManager::GetSoundEventForThing	SoundManager.cpp:1089	79	37	2	0	SOURCE_BODY_DEMO_TWIN	Returns the first playing event matching owner and case-insensitive sample name while initialized
0x004e18d0	0x004e1770	CSoundManager__SetPitch	CSoundManager::SetPitch	SoundManager.cpp:1110	52	16	1	0	SOURCE_BODY_DEMO_TWIN	Stores desired pitch and round(fade_seconds * 20) pitch-fade ticks on a valid event while initialized
0x004e1910	0x004e17b0	CSoundManager__GetEffectByName	CSoundManager::GetEffectByName	SoundManager.cpp:1124	33	12	0	0	SOURCE_BODY_DEMO_TWIN	Requires initialized state and delegates name/ordinal lookup to the static effect list
0x004e1940	0x004e17e0	CSoundManager__PlayEffect	CSoundManager::PlayEffect	SoundManager.cpp:1150	367	118	28	0	SOURCE_BODY_RETAIL_FLAG_DEMO_TWIN	Randomly selects one chained effect variant, scales volume, resolves loop/once and pitch variance, applies language-dependent sample loading, and forwards to PlaySample; released ABI retains an extra owner-position flag
0x004e1ab0	0x004e1950	CSoundManager__IsEffectPlaying	CSoundManager::IsEffectPlaying	SoundManager.cpp:1205	106	48	2	0	SOURCE_BODY_DEMO_TWIN	Walks every chained effect variant and active event, matching a playing event by owner and case-insensitive effect sample name
0x004e1b20	0x004e19c0	CSoundManager__UpdateStatus	CSoundManager::UpdateStatus	SoundManager.cpp:1224	2102	654	114	0	SOURCE_BODY_DEMO_TWIN	Refreshes camera and backend globals, sorts/arbitrates events, advances pitch and strict-crossing signed fades, updates spatial/volume state, handles owner-death tracking policy and completed channels, then recycles dead events to the pool
0x004e2360	0x004e2200	CSoundManager__GetDebugMenuText	CSoundManager::GetDebugMenuText	SoundManager.cpp:1416	410	152	27	0	SOURCE_BODY_DEMO_TWIN	Formats the indexed active event as sample/channel, volume/attenuation, tracking mode, and owner/dead-target debug text or no-sound
0x004e2bb0	0x004e2a50	CSoundManager__BuildLanguageSampleBankPathIfChanged	CSoundManager language-bank path helper	retail PC extension	154	54	11	0	RETAIL_PC_EXTENSION_DEMO_TWIN	Builds <root>/data/sounds/sounds_<language>_pc.xap, compares it with the cached +0x88 path, optionally copies the new path, and returns true only when initialized and changed
0x004e2c50	0x004e2af0	CSoundManager__ReloadLanguageSampleBank	CSoundManager language-bank reload helper	retail PC extension	285	103	25	0	RETAIL_PC_EXTENSION_DEMO_TWIN	On a changed language XAP path, updates the cache, returns active events to the pool, stops voices, deletes samples, runs memory cleanup, and reloads the compressed bank
