entryVa	trackedName	disposableName	bodyBytes	bodyMin	bodyMax	bodyDigest	instrCount	gradeBefore	gradeAfter	closureClass	receiptCount	contractNames	executionStates	confidence	receiptSources	receiptSha256
0x00401000	CGenericActiveReader__SetReader	HYP__CGenericActiveReader__SetReader	52	0x00401000	0x00401033	646148445ec05ae32ef39720b17fa662cd002def2e092d67bb85a2742d2c489e	24	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CGenericActiveReader__SetReader	COVERED	HIGH_STATIC	local-lab/ghidra-runtime-lifetime103-static-20260810-v1/contracts.tsv	57b105507bbaba1698096bd13196de19e58d35524a7434a694caece2a72525a4
0x00401040	CMonitor__AddDeletionEvent	HYP__CMonitor__AddDeletionEvent	126	0x00401040	0x004010bd	00bedf90ae5aae1442ae808a9e9ddae3a04cab890f14925ded90e9e2624e97dd	39	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CMonitor__AddDeletionEvent	PARTIAL	MEDIUM_STATIC	local-lab/ghidra-runtime-lifetime103-static-20260810-v1/contracts.tsv	57b105507bbaba1698096bd13196de19e58d35524a7434a694caece2a72525a4
0x004010c0	ZeroDwords3_00660060	HYP__ZeroDwords3_00660060	31	0x004010c0	0x004010de	3d84d1d3ec9311c4800f1d1450619951ebdf17fe42b83c3aea5d5e018a9c28f3	4	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	ZeroDwords3_00660060	COVERED	HIGH_STATIC	local-lab/ghidra-zero-identity539-static-20260809-v1/contracts.tsv	8c94adff3340ada59dadbd122607288b8aeb2cb596577dd0d8bac98c144a44c1
0x004011b0	vector_constructor_iterator_nothrow	HYP__vector_constructor_iterator_nothrow	42	0x004011b0	0x004011d9	7c7d376c32cd094435176c529096e7145ce106b489a31382365d65305986bd8a	21	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	vector_constructor_iterator_nothrow	COVERED	HIGH_STATIC	local-lab/ghidra-data-codec-vm108-static-20260810-v1/contracts.tsv	93db045a3dfb81652eb5bf1e47d4f3e3fc77646cca31ee2a3569cd565e947ebe
0x004011e0	CActor__Init	HYP__CActor__Init	485	0x004011e0	0x004013c4	74768a5019003baf53f959a0c8e81f29b723fcaf2ba1282aeb3c6318c9c7e2f9	148	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__Init	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x004013d0	CActor__dtor_base	HYP__CActor__dtor_base	18	0x004013d0	0x004013e1	d7af17a6c2ce11a8cf50b91c8b49f80e81589fd966ed5651a025c98cc1781cf6	3	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__dtor_base	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x004013f0	SharedVFunc__ReturnColorFF000080_004013f0	HYP__SharedVFunc__ReturnColorFF000080_004013f0	6	0x004013f0	0x004013f5	05c4e67d7602f45c4d7cf5d4c3fd61a6f1d56d30df93a20c2c18d98985e3de67	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	SharedVFunc__ReturnColorFF000080_004013f0	DARK	MEDIUM_STATIC	local-lab/ghidra-runtime-dispatch105-static-20260810-v1/contracts.tsv	47a7cbe58047be7c3fc485e8500bfee9d83423ff96525bc4339fbeabd8416325
0x00401400	CThing__ForwardField28Slot18OrFallbackFloat_00401400	CThing__ForwardField28Slot18OrFallbackFloat_00401400	19	0x00401400	0x00401412	59893653bb40eb22cca8ef64dab603ec27ab530f2e8d870f1ee0fe4117ff8aee	7	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CThing__ForwardField28Slot18OrFallbackFloat_00401400	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x00401420	CThing__GetCueFactorFromRenderThing	CThing__GetCueFactorFromRenderThing	18	0x00401420	0x00401431	dae26ba43c02bd4bc1caa0f1e13616069108abfe01f945018393faeb255eb657	7	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CThing__GetCueFactorFromRenderThing	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x00401440	CThing__GetRenderRadiusFromRenderThing	CThing__GetRenderRadiusFromRenderThing	19	0x00401440	0x00401452	f723503528383e85e9c49c3a06449d00c85478ef479f98e0ea7db0926cfec95e	7	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CThing__GetRenderRadiusFromRenderThing	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x00401460	CThing__MakeVisible	HYP__CThing__MakeVisible	5	0x00401460	0x00401464	29d37734331dae9e49b764d18dd56ef76456173b2136000291ad6295eda05bfa	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CThing__MakeVisible	DARK	HIGH_STATIC	local-lab/ghidra-unit-entity-squad112-static-20260810-v1/contracts.tsv	0a3d0a6ddcc81aee8175bcc20b65c82c7bbed6b3b3669e90ca000c1cc7223fc4
0x00401470	CThing__MakeInvisible	HYP__CThing__MakeInvisible	5	0x00401470	0x00401474	f8d55e26ccadee90ed0971f874653b349ec2f64592af9f0ee51613631a635214	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CThing__MakeInvisible	DARK	HIGH_STATIC	local-lab/ghidra-unit-entity-squad112-static-20260810-v1/contracts.tsv	0a3d0a6ddcc81aee8175bcc20b65c82c7bbed6b3b3669e90ca000c1cc7223fc4
0x00401480	SharedVFunc__ReturnTrue_00401480	HYP__SharedVFunc__ReturnTrue_00401480	3	0x00401480	0x00401482	f829fde8fac3ef3ba9da9751ecfc3bb0d2e4b14900a285ee92fea3260caf80b7	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	SharedVFunc__ReturnTrue_00401480	COVERED	HIGH_STATIC	local-lab/ghidra-runtime-dispatch105-static-20260810-v1/contracts.tsv	47a7cbe58047be7c3fc485e8500bfee9d83423ff96525bc4339fbeabd8416325
0x00401490	CThing__Damage_NoOp	CThing__Damage_NoOp	3	0x00401490	0x00401492	c8bcb77dd8cf2185a3fe0b0ada2a617cc6f429d91671c6e0cfd82b6e945c5314	1	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CThing__Damage_NoOp	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x004014a0	SharedVFunc__Return1_004014a0	HYP__SharedVFunc__Return1_004014a0	6	0x004014a0	0x004014a5	b52dd7421bcd68d4d0f18e413cecb5299f89bde0383444f78c6681429bf9b6be	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	SharedVFunc__Return1_004014a0	COVERED	HIGH_STATIC	local-lab/ghidra-runtime-dispatch105-static-20260810-v1/contracts.tsv	47a7cbe58047be7c3fc485e8500bfee9d83423ff96525bc4339fbeabd8416325
0x004014b0	CThing__GravityDefault	HYP__CThing__GravityDefault	7	0x004014b0	0x004014b6	3386f7245be6a700c794d32499a0ff2bb97e19470c8cbb52153b05b5f9eacb57	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CThing__GravityDefault	COVERED	HIGH_STATIC	local-lab/ghidra-unit-entity-squad112-static-20260810-v1/contracts.tsv	0a3d0a6ddcc81aee8175bcc20b65c82c7bbed6b3b3669e90ca000c1cc7223fc4
0x004014c0	SharedVFunc__NoOpOneArg_004014c0	HYP__SharedVFunc__NoOpOneArg_004014c0	3	0x004014c0	0x004014c2	545451e3d4d5112ddb4facf864a4fa2666bfd3e88c1aa494f0bc1b16fdd36c5e	1	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	SharedVFunc__NoOpOneArg_004014c0	COVERED	HIGH_STATIC	local-lab/ghidra-runtime-dispatch105-static-20260810-v1/contracts.tsv	47a7cbe58047be7c3fc485e8500bfee9d83423ff96525bc4339fbeabd8416325
0x004014d0	CComplexThing__ReturnField64Offset10OrMinusOne_004014d0	CComplexThing__ReturnField64Offset10OrMinusOne_004014d0	15	0x004014d0	0x004014de	816229a6b11ff4d8375d8df2b7282586d8291087ae6c761c48c5fbecde845de2	7	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CComplexThing__ReturnField64Offset10OrMinusOne_004014d0	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x004014e0	CComplexThing__IsObjectiveFlagSet	CComplexThing__IsObjectiveFlagSet	11	0x004014e0	0x004014ea	a5ff117901647e3c60fd5bc1fafb8ab6470c021aead202e80d9644e3606ee341	4	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CComplexThing__IsObjectiveFlagSet	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x004014f0	SharedVFunc__ReturnField68_004014f0	HYP__SharedVFunc__ReturnField68_004014f0	4	0x004014f0	0x004014f3	ded951f4ba68712b66fb17a4fc3c858d5ae0af8dd1510bae15044d136fb1c6a5	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	SharedVFunc__ReturnField68_004014f0	COVERED	HIGH_STATIC	local-lab/ghidra-runtime-dispatch105-static-20260810-v1/contracts.tsv	47a7cbe58047be7c3fc485e8500bfee9d83423ff96525bc4339fbeabd8416325
0x00401500	CComplexThing__ReturnField64Offset14OrZero_00401500	CComplexThing__ReturnField64Offset14OrZero_00401500	14	0x00401500	0x0040150d	d2668f41682e8ce3ddcbacb02fc666af1a2e07a11c7e1b1bbbc626f43a77b63b	7	C1_CANDIDATE_PARTIAL	C1_CANDIDATE_PARTIAL	PREEXISTING_GEN19_C1_OR_C2	1	CComplexThing__ReturnField64Offset14OrZero_00401500	OPEN_EXECUTED	CANDIDATE_CONTRACT	reverse-engineering/EVIDENCE-REGISTER.tsv	f83dbb6eddaa16deed5f2a2460d393dc4525a63ae243b6cac0c656056b69ab9a
0x00401510	CComplexThing__ReturnField78_00401510	HYP__CComplexThing__ReturnField78_00401510	4	0x00401510	0x00401513	a8515f3984c2a82f319b6366ebb5449d6c50222128f6c7271296776ab163876a	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CComplexThing__ReturnField78_00401510	COVERED	MEDIUM_STATIC	local-lab/ghidra-gameplay-tier2-235-static-20260810-v1/contracts.tsv	1e641db13654a8bdf39b0f94956044527060ec3ec56011d9847640fe74461d9e
0x00401520	CComplexThing__NoOpFiveArgs_00401520	HYP__CComplexThing__NoOpFiveArgs_00401520	3	0x00401520	0x00401522	11a216f24178b08ebc7d3a9df940b591cf4a7cc3ef64c2b8726116f1733a51d5	1	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CComplexThing__NoOpFiveArgs_00401520	DARK	MEDIUM_STATIC	local-lab/ghidra-gameplay-tier2-235-static-20260810-v1/contracts.tsv	1e641db13654a8bdf39b0f94956044527060ec3ec56011d9847640fe74461d9e
0x00401530	CActor__VFunc_7_00401530	HYP__RTTISlotStaticBody__00401530	6	0x00401530	0x00401535	5a94d23134338bcb7a6a2f3beb535493faf0676d6404caae718720c53046fedf	2	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__VFunc_7_00401530	DARK	MEDIUM_STATIC	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv	44e6a1203e5924bec1585db21f9287674a6855d9586a4f737cb0a717652b63e0
0x00401540	CActor__VFunc_38_00401540	HYP__RTTISlotStaticBody__00401540	15	0x00401540	0x0040154e	7f88d164f1331b0addff83243899f52cb032fa0998d88fb3bb6478839a1c34b5	4	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__VFunc_38_00401540	COVERED	MEDIUM_STATIC	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv	44e6a1203e5924bec1585db21f9287674a6855d9586a4f737cb0a717652b63e0
0x00401550	CActor__WriteVector1cMinus8cToOut_00401550	HYP__CActor__GetLocalLastFrameMovement	42	0x00401550	0x00401579	cf27fb0d8bfdfdfaf826392604bdbbf25d344cd4ad4047f01cf7917161df1b33	11	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__WriteVector1cMinus8cToOut_00401550	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401580	CActor__VFunc_64_00401580	HYP__RTTISlotStaticBody__00401580	61	0x00401580	0x004015bc	0de9bdf84923d2a549d8364a44de9307cb252778bf8c9f145c1e1b4cdca7ef4b	15	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__VFunc_64_00401580	DARK	MEDIUM_STATIC	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv	44e6a1203e5924bec1585db21f9287674a6855d9586a4f737cb0a717652b63e0
0x004015c0	CActor__scalar_deleting_dtor	HYP__CActor__scalar_deleting_dtor	32	0x004015c0	0x004015df	8854b87d2a5acdfacdc013df336223700c3a098af695bbd2666cf6bddaa84f40	11	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__scalar_deleting_dtor	DARK	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x004015e0	CActor__Move	HYP__CActor__Move	794	0x004015e0	0x004018f9	458d403f7a2baf5539b670e8aa8c4c23daf90d3fe0a737b063c9d4ae600f5696	242	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__Move	PARTIAL	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401900	CActor__ForwardArgToThingBridge_00401900	HYP__CActor__MoveTo	13	0x00401900	0x0040190c	866cbf3d990386835123d046e7e72c26a6d9517e93c16899f1aee77bc803b923	4	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__ForwardArgToThingBridge_00401900	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401910	CActor__CopyTransformAndNotify_00401910	HYP__CActor__Teleport	145	0x00401910	0x004019a0	3f7283eabac6fc024571a926083c496847948ddf6903bf8744ff1f3c843797b4	55	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__CopyTransformAndNotify_00401910	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x004019b0	CActor__TeleportOrientation	HYP__CActor__TeleportOrientation	36	0x004019b0	0x004019d3	bc7af98af87b17d73daa65b12a7d268d8fc512d1c3aaec84c92e987565b27623	14	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__TeleportOrientation	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x004019e0	CActor__HandleEvent	HYP__CActor__HandleEvent	367	0x004019e0	0x00401b4e	34f37e9a08814d664dc06b4d6c44bf75165363e6727b3845c58bf3ecd01a0b40	117	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__HandleEvent	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401b50	CActor__GetFractionTime	HYP__CActor__GetFractionTime	130	0x00401b50	0x00401bd1	df37039000ea87d92c8a511cfabc8016e9eaf29dce21a5f9c29396159e8d522d	44	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__GetFractionTime	PARTIAL	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401be0	CActor__GetRenderPos	HYP__CActor__GetRenderPos	108	0x00401be0	0x00401c4b	64e5797e35cdbfe6209973c9c7facdb8e5c0e09abbacb3cfcbff67eb1f158b3b	27	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__GetRenderPos	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401c50	CActor__GetRenderOrientation	HYP__CActor__GetRenderOrientation	618	0x00401c50	0x00401eb9	d7e02cad0611cd34543997e530d3991f4e8cb90bcf1c09dad3217900fa159e39	183	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__GetRenderOrientation	PARTIAL	MEDIUM	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401ec0	Vec3__SetXYZ	HYP__Vec3__SetXYZ	25	0x00401ec0	0x00401ed8	0a5fb7d2472d85d965f8ec52ddcc8823b9a15e541fbe2ec4523bb4a53809835e	8	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	Vec3__SetXYZ	COVERED	HIGH_STATIC	local-lab/ghidra-spatial-navigation133-static-20260810-v1/contracts.tsv	ffca8d9359a75a9abb9bfb4a54889d01a00bf3a934bc6012c7f04b95be55d294
0x00401ee0	Vec3__Add	HYP__Vec3__Add	35	0x00401ee0	0x00401f02	85dc2db4bf5080f515b8a4ef2938f21eeaa1a264c08909c5e98fe9f32a315cdd	12	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	Vec3__Add	COVERED	HIGH_STATIC	local-lab/ghidra-spatial-navigation133-static-20260810-v1/contracts.tsv	ffca8d9359a75a9abb9bfb4a54889d01a00bf3a934bc6012c7f04b95be55d294
0x00401f10	Mat34__SetRows	HYP__Mat34__SetRows	93	0x00401f10	0x00401f6c	158bc003d07d833091e147d36b99b21d20068072f7ccffe9212cb37304264f89	34	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	Mat34__SetRows	COVERED	HIGH_STATIC	local-lab/ghidra-spatial-navigation133-static-20260810-v1/contracts.tsv	ffca8d9359a75a9abb9bfb4a54889d01a00bf3a934bc6012c7f04b95be55d294
0x00401f70	CActor__TestFieldCcDeltaBelow015_00401f70	HYP__CActor__IsOnGround	34	0x00401f70	0x00401f91	3c6a1abc40bd0aa36af75f3445006b1df6769844efc841884cc5c32dc3d1bf29	10	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__TestFieldCcDeltaBelow015_00401f70	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00401fa0	ElapsedTime__BelowThreshold_D0	HYP__ElapsedTime__BelowThreshold_D0	34	0x00401fa0	0x00401fc1	ae505ff2d4899b06a8cbc1cd28419ebb582af1da65fb7125f86d80e0f325179d	10	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	ElapsedTime__BelowThreshold_D0	COVERED	HIGH_STATIC	local-lab/ghidra-pc-shell-input123-static-20260810-v1/contracts.tsv	895926ad7cb6f0b3d09f880199e095c960a2e17d5ab08f26bc495f6549b2e427
0x00401fd0	ElapsedTime__BelowThreshold_D4	HYP__ElapsedTime__BelowThreshold_D4	34	0x00401fd0	0x00401ff1	e502f030311cab7adb03de86bc440da3e67db8888ea660512aea519c95cdaab3	10	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	ElapsedTime__BelowThreshold_D4	COVERED	HIGH_STATIC	local-lab/ghidra-pc-shell-input123-static-20260810-v1/contracts.tsv	895926ad7cb6f0b3d09f880199e095c960a2e17d5ab08f26bc495f6549b2e427
0x00402000	CActor__SetFieldCcToNow_00402000	HYP__CActor__DeclareOnGround	12	0x00402000	0x0040200b	6cebd3cdea173a91b1a72f279e38bd0ef36674f7424f6d4e69a4db2bc2a707f1	3	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__SetFieldCcToNow_00402000	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00402010	CActor__SetFieldD0ToNow_00402010	HYP__CActor__DeclareInWater	12	0x00402010	0x0040201b	14970ae1d78e5fa6eb619a2a56c997b11cb1182556bfc586aef1940881705d5e	3	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__SetFieldD0ToNow_00402010	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00402020	CActor__SetFieldD4ToNow_00402020	HYP__CActor__DeclareOnObject	14	0x00402020	0x0040202d	030e90299528839e5f15be18a9606b9240d8b6bffcba6abcb2aec6d42f478c8b	3	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__SetFieldD4ToNow_00402020	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
0x00402030	CActor__StickToGround	HYP__CActor__StickToGround	41	0x00402030	0x00402058	d3929096b4731f9636e486b031180a534ae7f50c2407448a34de4a5ebcb0f486	15	OPAQUE	C1_CANDIDATE_PARTIAL	SEALED_STATIC_RECEIPT	1	CActor__StickToGround	COVERED	HIGH	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c
