retail_va	demo_va	retail_current_name	semantic_label	abi_placement	body_bytes	instruction_count	raw_diff_instruction_count	normalized_diff_instruction_count	semantic_status	evidence_boundary
0x00514620	0x005146a0	HYP__CPCController__scalar_deleting_dtor	CPCController::~CPCController [scalar deleting wrapper]	primary:0	32	11	3	0	RTTI_ABI	MSVC deleting-destructor wrapper for the source-derived class
0x00514640	0x005146c0	HYP__CPCController__GetJoyAnalogueLeftX	CPCController::GetJoyAnalogueLeftX	primary:9	41	10	4	0	SOURCE_BODY	Reads DirectInput lX and divides by 1000.0f exactly as source
0x00514670	0x005146f0	HYP__CPCController__GetJoyAnalogueLeftY	CPCController::GetJoyAnalogueLeftY	primary:10	42	10	4	0	SOURCE_BODY	Reads DirectInput lY and divides by 1000.0f exactly as source
0x005146a0	0x00514720	HYP__CPCController__GetJoyAnalogueRightX	CPCController::GetJoyAnalogueRightX	primary:11	42	10	4	0	SOURCE_BODY	Reads DirectInput lZ and divides by 1000.0f exactly as source
0x005146d0	0x00514750	HYP__CPCController__GetJoyAnalogueRightY	CPCController::GetJoyAnalogueRightY	primary:12	66	15	7	0	SOURCE_BODY	Reads lRz subtracts 32768.0f and divides by 32768.0f exactly as source
0x00514720	0x005147a0	HYP__CPCController__RecordControllerState	CPCController::RecordControllerState	primary:16	49	22	3	0	SOURCE_BODY	Writes three button words then four analogue floats to the controller data buffer in source order
0x00514760	0x005147e0	HYP__CPCController__ReadControllerState	CPCController::ReadControllerState	primary:17	74	29	5	0	SOURCE_BODY	Reads the same seven fields then closes the data buffer and clears playback at end-of-file
0x005147b0	0x00514830	HYP__CPCController__GetJoyButtonOnce	CPCController::GetJoyButtonOnce	primary:3	53	16	2	0	SOURCE_INLINE	Returns the false-to-true edge from old and current DirectInput button bytes
0x005147f0	0x00514870	HYP__CPCController__GetJoyButtonOn	CPCController::GetJoyButtonOn	primary:4	31	10	1	0	SOURCE_INLINE	Returns whether the current DirectInput button byte is nonzero
0x00514810	0x00514890	HYP__CPCController__GetJoyButtonRelease	CPCController::GetJoyButtonRelease	primary:5	53	16	2	0	SOURCE_INLINE	Returns the true-to-false edge from old and current DirectInput button bytes
0x00514850	0x005148d0	HYP__CPCController__GetKeyOnce	CPCController::GetKeyOnce	primary:6	23	6	1	0	SOURCE_INLINE	Forwards the key code to the global PC platform KeyOnce helper and canonicalizes its byte result
0x00514870	0x005148f0	HYP__CPCController__GetKeyState3	CPCController retail key-state slot 8	primary:8	23	6	1	0	RETAIL_EXTENSION_DESCRIPTIVE	Forwards the key code to the platform third-state-table byte reader; transition meaning and historical name remain open
0x00514890	0x00514910	HYP__CPCController__GetKeyOn	CPCController::GetKeyOn	primary:7	18	5	2	0	SOURCE_INLINE	Forwards the key code to the global PC platform KeyOn helper and canonicalizes its byte result
0x005148b0	0x00514930	HYP__CPCController__GetJoyPovX	CPCController retail joystick POV X	primary:13	65	16	3	0	RETAIL_EXTENSION_DESCRIPTIVE	Returns zero for POV 0xFFFF else sin of hundredths-of-a-degree converted with pi over 18000
0x00514900	0x00514980	HYP__CPCController__GetJoyPovY	CPCController retail joystick POV Y	primary:14	67	17	3	0	RETAIL_EXTENSION_DESCRIPTIVE	Returns zero for POV 0xFFFF else negative cosine of hundredths-of-a-degree converted with pi over 18000
