addr	provenance	liveKind	currentNameLive	proposedName	tier	anchorKind	anchorEvidence	reason
0x00402dd0	DEMOTE	FUNCTION	SharedShadowVFunc__AnyBoundsCornerAboveSampledHeight_00402dd0	SharedShadowVFunc_T3_00402dd0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x00404920	PROMOTE	FUNCTION	CAtmospheric__Link	CAtmospherics__Link	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_VTABLE_INSTALL	vt 0x005d87ec installed by body; [vt-4]=COL 0x0060c408 -> TD 0x00622da0 = .?AVCAtmospherics@@; CAtmospheric absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=vt=0x005d87ec immediateInBody=True COL=0x0060c408 -> CAtmospherics | prefixVtableBinding=vtableHits=0 
0x00404960	PROMOTE	FUNCTION	CAtmospheric__Unlink	CAtmospherics__Unlink	TIER1_CLASS_RTTI+METHOD_UNCHANGED	RTTI_FAMILY	same CAtmospherics list (vt 0x005d87ec, TD .?AVCAtmospherics@@ @0x00622da0); CAtmospheric absent image-wide	Class identity recovered from the shipped image; earlier verdict re-measured independently. structuralAnchor=family vt=0x005d87ec COL->CAtmospherics (want CAtmospherics) | prefixVtableBinding=vtableHits=0 
0x00408120	DEMOTE	FUNCTION	SharedUnitVFunc__IsState2AndBelowTimeDeltaThreshold_00408120	SharedUnitVFunc_T3_00408120	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x004145f0	DEMOTE	FUNCTION	CBattleEngineWalkerPart__GetCurrentWeaponZoomMode	CBattleEngineWalkerPart_T3_004145f0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x004175b0	DEMOTE	FUNCTION	CPhysicsScriptValue__GetTwoScalarSerializedSize8	CPhysicsScriptValue_T3_004175b0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCBuilding@@@slot8;.?AVCUnitAttackPriority@@@slot2;.?AVCWeaponLaunchSequence@@@slot2;.?AVCComponentAttackPriority@@@slot2	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_UNSUPPORTED_AND_WRONG_OWNER; class anchor: ABSENT; vtable owners: .?AVCBuilding@@@slot8;.?AVCUnitAttackPriority@@@slot2;.?AVCWeaponLaunchSequence@@@slot2;.?AVCComponentAttackPriority@@@slot2
0x0041b6a0	DEMOTE	FUNCTION	CCareer__StaticInitDefaults	CCareer_T3_0041b6a0	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x0041c160	DEMOTE	FUNCTION	CCareer__GetKillCounterLow24ByType	CCareer_T3_0041c160	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x0041c330	DEMOTE	FUNCTION	CCareer__GetGradeForWorld	CCareer_T3_0041c330	TIER3_PLACEHOLDER	REFUTATION_CONFIRMED	CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none	Recorded descriptive name is refuted by the anchor audit; demoted to a neutral Tier-3 placeholder rather than replaced with a second invented label. CONFIRMED_CLASS_ABSENT_FROM_IMAGE; class anchor: ABSENT; vtable owners: none
0x004228b0	SLOTFIX	FUNCTION	CCarver__VFunc35_RenderWithFadeGlobal	CCarver__VFunc36_RenderWithFadeGlobal	TIER3_SLOT_ORDINAL	VTABLE_SLOT_OFF_BY_ONE	vtable 0x005e0d8c slot 36 @ 0x005e0e1c; COL class CCarver; encodedSlot 35 delta 1; numbered from head+4 (the scalar-deleting-dtor slot), dropping true slot 0 of vtable 0x005e0d8c	Encoded vtable ordinal was wrong. Measured from the specimen: vtable 0x005e0d8c (COL CCarver, 118 entries) holds this VA at slot 36; the corrected name encodes that ordinal.
0x00422910	SLOTFIX	FUNCTION	CCarver__VFunc104_IsWingBlendAtOrBelowThreshold	CCarver__VFunc105_IsWingBlendAtOrBelowThreshold	TIER3_SLOT_ORDINAL	VTABLE_SLOT_OFF_BY_ONE	vtable 0x005e0d8c slot 105 @ 0x005e0f30; COL class CCarver; encodedSlot 104 delta 1; numbered from head+4 (the scalar-deleting-dtor slot), dropping true slot 0 of vtable 0x005e0d8c	Encoded vtable ordinal was wrong. Measured from the specimen: vtable 0x005e0d8c (COL CCarver, 118 entries) holds this VA at slot 105; the corrected name encodes that ordinal.
