0x00590e10 CDXTexture__FillInputBufferFromSource
0x00590ea0 CDXTexture__ProcessInputControllerState
0x00590f80 CDXTexture__InitJpegDecodeState
0x00591060 CDXTexture__SelectJpegOutputDefaults
0x005928d0 CDXTexture__ConsumeExpectedRestartMarker
0x00592950 CDXTexture__ClassifyRestartMarkerResync
0x00592a80 CDXTexture__InitJpegMarkerReader
0x00592d45 CDXTexture__ThrowDecodeError
0x00592d63 CDXTexture__ReportDecodeWarning
0x00592dc2 CDXTexture__CreatePngDecodeContext
0x00592eb6 CDXTexture__ParsePngHeadersUntilIdat
0x00593024 CDXTexture__PreparePngRowOutputLayout
0x00593043 CDXTexture__DecodePngPassRowsAndPostprocess
0x005935d9 CDXTexture__GetOutputChannelCount
0x005935f2 CDXTexture__GetOutputGamma
0x0059361e CDXTexture__GetRenderingIntent
0x0059364c CDXTexture__GetImageHeaderInfo
0x0059371d CDXTexture__GetPaletteBufferInfo
0x00593753 CDXTexture__GetTransparencyInfo
0x005937bc CDXTexture__EnableByteSwapTransform
0x005937c7 CDXTexture__EnableSwap16TransformIfNeeded
0x005937db CDXTexture__EnableExpandTo8Bit
0x00593812 CDXTexture__ConfigureFillerChannel
0x00593861 CDXTexture__Swap16BitSampleByteOrder
0x00593890 CDXTexture__SwapRgbBgrChannelOrder
0x00593951 CDXTexture__SetGammaCorrectionParams
0x00593989 CDXTexture__EnablePaletteExpansion
0x005942da CDXTexture__ExpandIndexedRowToRgbOrRgba
0x00594d5c CDXTexture__ApplyPngRowTransforms
0x00595079 CDXTexture__ReadFromSource
0x005950a2 CDXTexture__SetReadFunction
0x005950e0 CDXTexture__ComparePngSignatureBytes
0x0059519a CDXTexture__UpdateChunkCrc
0x005951e9 CDXTexture__AllocZeroedInflateState
