0x0057dd17 CDXTexture__Average2x2Block_RGB444
0x0057e0c3 CDXTexture__ConvertSurfaceDirectCopyOrDxtCopy
0x0057e4d3 CDXTexture__ResampleSurfaceNearestNeighbor
0x0057e6cc CDXTexture__DownsampleSurface2x2_WithFastPaths
0x0057eadb CDXTexture__DownsampleVolume2x2x2
0x0057ef10 CFastVB__BuildResampleKernel1D
0x0057f002 CDXTexture__ResampleSurfaceBilinear
0x0057f391 CDXTexture__ResampleVolumeTrilinear
0x0057fa10 CFastVB__BlendWeightTable_scalar_deleting_dtor
0x00580ef4 CDXTexture__CreateTexelCodecProfileFromSurfaceDesc
0x00581263 CFastVB__TexelUnpackProfile__dtor
0x00581279 CFastVB__ConvertTexelVectorDomain
0x0058183d CFastVB__TexelCodecProfile__dtor
0x005819b8 CFastVB__LookupCurveFromRsqrtScaledInput
0x00581a08 CFastVB__LookupCurveFromSquaredInput
0x00581a4f CFastVB__TexelUnpackProfile__ctorFromDescriptor
0x00581cc0 CFastVB__TexelUnpackProfile__InitConversionScratch
0x00581e1c CFastVB__TexelUnpackProfile__ZeroTexelsMatchingKeyColor
0x0058577f CFastVB__TexelUnpackProfile_005e9f3c__ctor
0x0058584f CFastVB__TexelUnpackProfile_005e9f4c__ctor
