address	name	xref_count	owners	top_counts	unambiguous_non_cfastvb	inferred_owner
0x0055db0a	CFastVB__Unk_0055db0a	49	<no_function>,CAnimal,CBattleEngine,CCockpit,CDXEngine,CDXLandscape,CDXMeshVB,CDXPatchManager,CDXSurf,CDebris,CEscapePod,CEventManager,CFEPDebriefing,CFEPMultiplayerStart,CFastVB,CFastVB_Unk_0055db0a,CFeature,CInfluenceMap,CLandscapeIB,CMapWho,CMesh,CMissile,CMixerMap,CParticleManager,CRenderQueue,CRocket,CShell,CStaticShadows,CUnit,CWeapon,Unwind@005d24b0,Unwind@005d58a8,Unwind@005d58e8,Unwind@005d7bf8,Unwind@005d7c28,VFuncSlot_00_00449890	<no_function>:8;CEventManager:2;CMixerMap:2;CDXLandscape:2;CRocket:2;CRenderQueue:2;CDXMeshVB:2;CFastVB_Unk_0055db0a:1	false
0x0055db72	CFastVB__Unk_0055db72	1	CFastVB	CFastVB:1	false
0x0055e14f	CFastVB__Unk_0055e14f	24	<no_function>,CConsole,CD3DApplication,CLIParams,CTokenArchive,con_map	<no_function>:7;CLIParams:6;CD3DApplication:4;CTokenArchive:3;CConsole:3;con_map:1	false
0x0055e183	CFastVB__Unk_0055e183	24	CFastVB,CGame,CLIParams,CWorldPhysicsManager	CFastVB:21;CLIParams:1;CWorldPhysicsManager:1;CGame:1	false
0x0055e1c4	CFastVB__Unk_0055e1c4	7	CConsole,CTexture	CConsole:6;CTexture:1	false
0x0055e21b	CFastVB__Unk_0055e21b	5	CFastVB,CTexture	CTexture:3;CFastVB:1;:1	false
0x0055e2a6	CFastVB__Unk_0055e2a6	20	<no_function>,CConsole,CDXTexture,CMCBuggy,CMCMech,CMCTentacle,CMeshPart,CSoundManager,CTexture,con_map	CSoundManager:5;CTexture:4;CMCMech:3;CDXTexture:2;CMeshPart:1;CMCBuggy:1;CConsole:1;con_map:1	false
0x0055e45f	CFastVB__Unk_0055e45f	1	fopen	fopen:1	false
0x0055e673	CFastVB__Unk_0055e673	4	<no_function>,CFastVB,CTexture	CFastVB:2;CTexture:1;<no_function>:1	false
0x0055f506	CFastVB__Unk_0055f506	1	fread	fread:1	false
0x0055f5ee	CFastVB__Unk_0055f5ee	3	EnumerateSaveFiles_1,EnumerateSaveFiles_2,EnumerateSaveFiles_Main	EnumerateSaveFiles_1:1;EnumerateSaveFiles_Main:1;EnumerateSaveFiles_2:1	false
