0x0057d4db CDXTexture__Average2x2Block_RGB565
0x0057d62b CDXTexture__Average2x2Block_RGB555
0x0057d74f CDXTexture__Average2x2Block_ARGB1555
0x0057d89e CDXTexture__Average2x2Block_A4R4G4B4
0x0057de38 CDXTexture__Average2x2Block_A8L8
0x0057df84 CDXTexture__Average2x2Block_A4L4
0x0058083d CDXTexture__ResetSurfaceCopyContext
0x00580850 CDXTexture__CopyLockedRectPitchAware
0x0058092d CDXTexture__FinalizeTextureUploadAndReleaseTemp
0x00580a00 CDXTexture__FinalizeTextureUploadAndReleaseTemp_Duplicate
0x00580a05 CDXTexture__UploadSurfaceRegionWithFallback
0x00588896 CDXTexture__CloseHandleIfValid
0x005888a1 CDXTexture__ZeroGdiBitmapRecord
0x005888ae CDXTexture__DeleteGdiObjectIfSet
0x0058920c CDXTexture__DetectCpuSimdFlags
0x0058c178 CDXTexture__InsertOrFindKeyInSortedTable
0x0058c82b CDXTexture__SetKeyEntryModeFlags
0x0058d722 CDXTexture__CollectHashBucketsToArray
0x0058f1fc CDXTexture__ReleaseTexturePointerArray7
0x005960c1 CDXTexture__FastReciprocalSqrtScalar
0x00596106 CDXTexture__NormalizeVec3Fast
