source_file	source_line	function	delta_status	retail_va	retail_observation	evidence_path	boundary_or_falsifier
Music.h	32	CMusicMenu::GetName	SOURCE_ONLY		The source-only debug-menu label has no selected released PC body.	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	Select only after a CMusicMenu vtable/body copies the literal Music with the matching ABI.
Music.h	34	CMusicMenu::GetShowSubmenus	SOURCE_ONLY		The source-only constant-return debug-menu hook has no selected released PC body.	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	Select only after a CMusicMenu virtual target proves the constant true return.
Music.h	68	CMusic::GetVolume	SOURCE_ONLY		Released CMusic state independently places mSetVolume at +0x2C, but no emitted accessor is selected; released SetVolume uses round(volume*127), not the retained tangent curve.	reverse-engineering/binary-analysis/cmusic-shared-semantics-2026-08-11.md:38-45,84-86	An emitted accessor or inlined caller must prove this exact divide-by-127 identity.
Music.h	69	CMusic::GetCurrentVolume	SOURCE_ONLY		Released CMusic state independently places current volume at +0x34, but no emitted accessor is selected.	reverse-engineering/binary-analysis/cmusic-shared-semantics-2026-08-11.md:38-45	An emitted accessor or inlined caller must prove this exact source identity.
Music.h	78	CMusic::DeviceWarnOfStop	SOURCE_ONLY		No selected CPCMusic slot or call edge establishes the retained no-op pre-stop notification.	reverse-engineering/binary-analysis/cpcmusic-vtable-semantics-2026-08-11.tsv	A vtable slot or call edge must select the released PC implementation before this hook is projected.
Music.h	102	CMusic::DeviceUpdateStatus	SOURCE_AGREES		CPCMusic vtable slot 8 is the inherited one-byte no-op, shared by 228 placements; the report intentionally does not assign a unique-owner row.	reverse-engineering/binary-analysis/cpcmusic-vtable-semantics-2026-08-11.md:59-60	Semantic no-op agreement is established, but a unique body/VA remains unselected and the crosswalk classification stays NO_MATCH_FOUND.
pcsoundmanager.h	58	CPCSoundManager::LoadSampleFromBuffer	SOURCE_AGREES	0x00517290	The released five-byte, two-instruction, two-argument stack-cleaning stub always returns null exactly like the retained PC header; production compressed loading uses a different backend path.	reverse-engineering/binary-analysis/cpcsoundmanager-backend-semantics-2026-08-11.tsv:7	A pristine-body or ABI contradiction would falsify exact identity.
pcsoundmanager.h	75	CPCSoundManager::GetAvailableChannels	SOURCE_DIVERGES		The retained header returns compile-time 32, while released DeviceInit clears 64 physical slots and FindFreeChannel scans a capability-derived active-voice count; no exact accessor body is selected.	reverse-engineering/binary-analysis/cpcsoundmanager-backend-semantics-2026-08-11.md:41-59	An emitted retail accessor/call projection is still needed to decide whether this source identity was folded, replaced, or removed; do not infer a unique VA.
SoundManager.h	53	CEffect::~dtor	RETAIL_UNRESOLVED	0x004e0820	The selected scalar-deleting wrapper performs chained-effect deletion, global-list unlink, and conditional free, but wrapper identity is not the standalone source destructor body.	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W007/adversarial/B05.md:56-63	A separately bounded non-deleting destructor body, or proof the wrapper is the sole emitted form, is required before SOURCE_EXACT.
SoundManager.h	164	CSoundManagerDebugMenu::GetName	SOURCE_ONLY		The source-only debug-menu label has no selected released PC body.	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	Select only after a debug-menu vtable/body copies the literal Sound manager with the matching ABI.
