claim_id	area	extractor_claim	extractor_source	classification	current_evidence	comparison	priority_follow_up
AYA-001	envelope	Each PC AYA member starts with a little-endian four-byte compressed-length prefix.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L7-L18;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L44-L65	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/aya-container.md:L30-L45;tools/aya_archive_inventory.py:L542-L586	The complete 1,361-file measurement and fail-closed observer confirm this framing.	NONE
AYA-002	envelope	Members repeat to physical EOF and their inflated bytes concatenate in member order.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L11-L20;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L38-L90	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/aya-container.md:L32-L43;tools/aya_archive_inventory.py:L542-L590	Current tooling makes EOF termination and ordered concatenation explicit and validates each zlib member.	NONE
AYA-003	envelope	The comment claims BEA itself could handle only 1 MiB of uncompressed data at a time.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L7-L12	UNKNOWN	reverse-engineering/asset-formats/aya-container.md:L58-L62;reverse-engineering/asset-formats/aya-container.md:L103-L110	There are 364 full 1 MiB members, supporting a writer policy, but no cited runtime/source evidence proves an engine limit.	P3: recover writer or loader evidence before assigning causality.
AYA-004	envelope	The extractor allocates exactly 1 MiB for each inflated member.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L63-L74	CURRENT_TOOL_STRONGER	tools/aya_archive_inventory.py:L47-L55;tools/aya_archive_inventory.py:L542-L586	The current observer uses aggregate and per-member bounds, streams every member, and is not constrained to a 1 MiB result buffer.	NONE
AYA-005	envelope	The extractor caps the concatenated result implicitly at a fixed 4 MiB array.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L36-L40;references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L71-L88	CURRENT_TOOL_STRONGER	tools/aya_archive_inventory.py:L47-L55;tools/aya_archive_inventory.py:L569-L586	Current tools bound output at 128 MiB and append dynamically; 4 MiB is an extractor implementation limit, not a format limit.	NONE
AYA-006	envelope	The C++/CLI zlib bridge copies compressed input and output through two fixed 1 MiB native buffers.	references/AYAResourceExtractor/Code/ZLibWrapper/UnCompressFile.cpp:L19-L40	CURRENT_TOOL_STRONGER	tools/aya_archive_inventory.py:L569-L586;reverse-engineering/game-assets/aya-asset-format.md:L256-L263	Current Python/.NET readers avoid this bridge; the source also leaks both allocations and does not reject compressed input over 1 MiB.	NONE
AYA-007	envelope	AYA members use zlib's standard wrapped uncompress operation.	references/AYAResourceExtractor/Code/ZLibWrapper/UnCompressFile.cpp:L30-L39;references/AYAResourceExtractor/README.md:L16-L22	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/aya-container.md:L30-L45;reverse-engineering/asset-formats/aya-container.md:L83-L99	Corpus decoding and the pristine executable's imported uncompress thunk corroborate RFC-1950-wrapped zlib.	NONE
AYA-008	envelope	Malformed prefixes stop the loop, but several framing failures can still return partial output because only zlib errors set error nonzero.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaFileUncompressor.cs:L42-L90	CURRENT_TOOL_STRONGER	tools/aya_archive_inventory.py:L59-L87;tools/aya_archive_inventory.py:L542-L586	The current observer has closed terminal rejection categories for truncation, overrun, zero length, incomplete streams, trailing bytes, and limits.	NONE
AYA-009	target	The extractor is explicitly PC-only; Xbox/PS2 are unsupported, and Steam equivalence was only assumed.	references/AYAResourceExtractor/README.md:L4-L14	CURRENT_TOOL_STRONGER	reverse-engineering/game-assets/aya-asset-format.md:L13-L33;reverse-engineering/game-assets/aya-asset-format.md:L58-L64	Current tooling measures PC and Xbox as distinct envelopes and packaging surfaces; the extractor's target claim is a tool boundary, not cross-platform format evidence.	NONE
AYA-010	target	The build is net6.0-windows WinForms and x86 because the native mixed-mode projects did not work in Any CPU/x64.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AYAResourceExtractor.csproj:L3-L10;references/AYAResourceExtractor/Code/AyaResourceExtractor/AYAResourceExtractor.sln:L27-L51	EXPORT_CONVENTION_ONLY	tools/BeaAssetExportHarness/BeaAssetExportHarness.csproj:L1-L10;tools/BeaAssetExportHarness/Program.cs:L72-L97	The retained harness remains x86 solely to load the mixed-mode extractor assemblies; this says nothing about AYA data width.	NONE
CMSH-001	root	The importer starts at stream offset 8, skips four more bytes, and does not validate the CMSH root tag or declared root length.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L11-L20	CURRENT_TOOL_STRONGER	rebuild/tools/aya_battleengine_identity_analyzer.py:L423-L436;rebuild/tools/cmsh_static_preview.py:L993-L1004	Current parsers require CMSH and an exact 372-byte root payload before reading fields.	NONE
CMSH-002	root	Texture count is u32 little-endian at stream offset 0x0C (CMSH payload +0x04).	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L13-L20	CURRENTLY_CORROBORATED	reverse-engineering/asset-formats/cmsh-mesh.md:L79-L90;rebuild/tools/cmsh_static_preview.py:L993-L1000	All current parser owners read the same offset and corpus-bound the count.	NONE
CMSH-003	root	The 28 bytes after texture count are skipped without names.	references/AYAResourceExtractor/Code/AyaResourceExtractor/AyaModelImporter.cs:L17-L22	CURRENT_TOOL_STRONGER	reverse-engineering/asset-formats/cmsh-mesh.md:L85-L91;rebuild/tools/cmsh_static_preview.py:L263-L266	Current round-trip tooling preserves all 60 otherwise-unread root bytes and records that shipped values are nonzero, rather than calling them pointers/reserved.	P4: field naming remains a retail-consumer question, not an extractor defect.
