stable_key	source_file	source_line	function	signature	source_commit	target_branch	source_anchor	source_excerpt	source_algorithm	fields_constants	source_side_effects	initial_readiness	retail_classification	retail_va	retail_analog	retail_evidence	retail_reason	retail_falsifier	rebuild_disposition	rebuild_owner	reuse_disposition	predecessor_artifacts
d3dapp.h:180:CD3DApplication::ConfirmDevice:ConfirmDevice(D3DCAPS8*,DWORD,D3DFORMAT)	d3dapp.h	180	CD3DApplication::ConfirmDevice	ConfirmDevice(D3DCAPS8*,DWORD,D3DFORMAT)	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT ConfirmDevice(D3DCAPS8*,DWORD,D3DFORMAT)   { return S_OK; }	virtual HRESULT ConfirmDevice(D3DCAPS8*,DWORD,D3DFORMAT)   { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	D3DCAPS8;D3DFORMAT;S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:181:CD3DApplication::OneTimeSceneInit:OneTimeSceneInit()	d3dapp.h	181	CD3DApplication::OneTimeSceneInit	OneTimeSceneInit()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT OneTimeSceneInit()                         { return S_OK; }	virtual HRESULT OneTimeSceneInit()                         { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:182:CD3DApplication::InitDeviceObjects:InitDeviceObjects()	d3dapp.h	182	CD3DApplication::InitDeviceObjects	InitDeviceObjects()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT InitDeviceObjects()                        { return S_OK; }	virtual HRESULT InitDeviceObjects()                        { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:183:CD3DApplication::RestoreDeviceObjects:RestoreDeviceObjects()	d3dapp.h	183	CD3DApplication::RestoreDeviceObjects	RestoreDeviceObjects()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT RestoreDeviceObjects()                     { return S_OK; }	virtual HRESULT RestoreDeviceObjects()                     { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:184:CD3DApplication::FrameMove:FrameMove()	d3dapp.h	184	CD3DApplication::FrameMove	FrameMove()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT FrameMove()                                { return S_OK; }	virtual HRESULT FrameMove()                                { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:185:CD3DApplication::Render:Render()	d3dapp.h	185	CD3DApplication::Render	Render()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT Render()                                   { return S_OK; }	virtual HRESULT Render()                                   { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:186:CD3DApplication::InvalidateDeviceObjects:InvalidateDeviceObjects()	d3dapp.h	186	CD3DApplication::InvalidateDeviceObjects	InvalidateDeviceObjects()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT InvalidateDeviceObjects()                  { return S_OK; }	virtual HRESULT InvalidateDeviceObjects()                  { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:187:CD3DApplication::DeleteDeviceObjects:DeleteDeviceObjects()	d3dapp.h	187	CD3DApplication::DeleteDeviceObjects	DeleteDeviceObjects()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT DeleteDeviceObjects()                      { return S_OK; }	virtual HRESULT DeleteDeviceObjects()                      { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:188:CD3DApplication::FinalCleanup:FinalCleanup()	d3dapp.h	188	CD3DApplication::FinalCleanup	FinalCleanup()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	virtual HRESULT FinalCleanup()                             { return S_OK; }	virtual HRESULT FinalCleanup()                             { return S_OK; }	Return S_OK unconditionally without touching source-visible state.	S_OK	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
d3dapp.h:200:CD3DApplication::GetHWnd:GetHWnd()	d3dapp.h	200	CD3DApplication::GetHWnd	GetHWnd()	5352a81cdb838b145a57f7febc5d9fc4b0129ebb	_DIRECTX and !EDITORBUILD2 base selected by PCLTShell	"HWND	GetHWnd() {return m_hWnd;};"	"HWND	GetHWnd() {return m_hWnd;};"	Return the source expression `m_hWnd`.	m_hWnd	Read-only or no-op at this source definition; no source-visible mutation.	SOURCE_ONLY_BOUNDED_NO_MATCH	NO_MATCH_FOUND			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence. W5 cold recheck preserved an empty VA after current name-table, closure, W008/W009, promoted shell semantics, and bounded method-alias review.	A line/signature-specific pristine body, ABI/vtable placement, caller/xref chain, or controlled runtime witness that resolves this exact definition falsifies the bounded no-match.	BACKEND_REPLACED_BY_GODOT	rebuild/OnslaughtRebuild.Godot	EXTENDED	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv@bc36791975f43d5da6b584727df3eb7d29402e18c550dd3d96e01bba0c301fde;pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases
