0x005768fe CFastVB__DispatchIndirect_00656f3c
0x005775bd CFastVB__DispatchIndirect_00656fc8
0x00577ea4 Math__InterpolateVec4ByRatio_Dispatch_00577ea4
0x005780e3 CDXTexture__DispatchPtr00656f84_WithInit_005780e3
0x00578555 Math__TransformVec2ByMatrix4x4
0x00579d33 CDXTexture__InitSurfaceFormatInfoFromDescriptor
0x0058210e CTexture__PostProcessDecodedTexels_GammaOrSquare
0x00588855 CDXTexture__CloseMappedFileContext
0x0058926b CFastVB__InitDispatchTableByCpuFeature
0x0058939b CTexture__IncludeNodeDtor
0x005893b7 CTexture__IncludeNodeCtor
0x00589405 CTexture__PreprocessorContextCtor
0x0058948d CTexture__IncludeContextDtor
0x005896a1 CTexture__IncludeFileChainDtor
0x005896bd CTexture__DirectiveParserContextCtor
0x00589762 CTexture__DirectiveParserContextDtor
0x00589802 CTexture__PushPreprocessorStateNode
0x00589846 CTexture__GetCurrentSourceLocation
0x0058986b CTexture__GetActiveIncludeRange
0x005898a4 CTexture__MapLexTokenToPreprocessorToken
