row_id	row_kind	subject	evidence_class	specimen_sha256	denominator	classified	result	evidence_boundary	remaining_unknown	falsifier
MATRIX-001	matrix-operation	sample_pose	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"frame_zero","operation":"sample_pose","outRotation":"R_bind","outTranslation":"t_bind","rowId":"MATRIX-001","va":"0x0054a74e"}	0x0054a74e	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-002	matrix-operation	sample_pose	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"current_interpolated","operation":"sample_pose","outRotation":"R_current","outTranslation":"t_current","rowId":"MATRIX-002","va":"0x0054a786"}	0x0054a786	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-003	matrix-operation	inverse	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"R_bind","operation":"inverse","out":"inverse(R_bind)","rowId":"MATRIX-003","va":"0x0054af39"}	0x0054af39	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-004	matrix-operation	build_translation	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"t_current","operation":"build_translation","out":"T_current","rowId":"MATRIX-004","va":"0x0054af55"}	0x0054af55	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-005	matrix-operation	build_translation	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"t_bind","operation":"build_translation","out":"T_bind","rowId":"MATRIX-005","va":"0x0054af7a"}	0x0054af7a	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-006	matrix-operation	inverse	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"T_bind","operation":"inverse","out":"inverse(T_bind)","rowId":"MATRIX-006","va":"0x0054af91"}	0x0054af91	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-007	matrix-operation	multiply	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"left":"inverse(T_bind)","operation":"multiply","out":"bind_inverse","right":"inverse(R_bind)","rowId":"MATRIX-007","va":"0x0054afae"}	0x0054afae	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-008	matrix-operation	multiply	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"left":"bind_inverse","operation":"multiply","out":"rotation_delta","right":"R_current","rowId":"MATRIX-008","va":"0x0054afe0"}	0x0054afe0	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-009	matrix-operation	multiply	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"left":"rotation_delta","operation":"multiply","out":"P_unscaled","right":"T_current","rowId":"MATRIX-009","va":"0x0054b012"}	0x0054b012	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
MATRIX-010	matrix-operation	scale_then_copy	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one typed operation	all inputs/output/order classified	{"input":"P_unscaled","operation":"scale_then_copy","out":"palette_global_0x009c69d4","rowId":"MATRIX-010","scalarBits":"0x3eaaaaab","va":"0x0054b0c3..0x0054b217"}	0x0054b0c3..0x0054b217	CPU implementation address and low-order evaluation differ by selected dispatch mode	range/call/pointer hash drift or a non-commuting control matching an alternative
STATIC-001	retail-range	per-bone builder	RETAIL_STATIC	d872ab8436e562f24429b155660a1f78968a3596d2e515a64edd8091de7a4800	2331 bytes	exact range classified	0x0054a727	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-002	retail-range	final affine chain	RETAIL_STATIC	1c4304a434d4bb5b176741e2d6afd52518609573aac51c1fde0e9c8f704d9b49	465 bytes	exact range classified	0x0054ae71	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-003	retail-range	palette scale/copy	RETAIL_STATIC	362f12c6af54fcff8a238c5badfee7d5f7794b362af58a6585099e74821ebee2	376 bytes	exact range classified	0x0054b0ad	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-004	retail-range	scalar inverse	RETAIL_STATIC	e9f99f35e7a5a193a075114b62abe9633114bbadba211802e16494e1a53392b1	927 bytes	exact range classified	0x00576e10	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-005	retail-range	translation builder	RETAIL_STATIC	02322e3ea8810906597f2d023267fb74577ebe41b2cd6b2fe91c3411a8eda970	92 bytes	exact range classified	0x0057726d	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-006	retail-range	scalar multiply	RETAIL_STATIC	7045ca54660b7851e8281e7e4e478343850b97b2f370d8d3b08cfe34e15b2463	227 bytes	exact range classified	0x005961d0	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-007	retail-range	dispatch seed	RETAIL_STATIC	533ef6677a9f9dffe6293d46908d38b035e8f85ad06d082134370ee6550a2150	69 bytes	exact range classified	0x00596341	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-008	retail-range	dispatch variant A	RETAIL_STATIC	7bced89f65536aae128a2c67ea642d1c690410e6d6108f46e1ef9cb4e0460278	366 bytes	exact range classified	0x005980be	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-009	retail-range	dispatch variant B	RETAIL_STATIC	914cb170b9b0065d3d84ae50313c69e636fc460f17bf5513acd0d6221341e673	356 bytes	exact range classified	0x0059822c	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-010	retail-range	feature overrides	RETAIL_STATIC	d950ed192ea544298c00354b401737e5223b4990e638d3872f97fe8026dfe80a	654 bytes	exact range classified	0x00598474	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
STATIC-011	retail-range	SIMD inverse	RETAIL_STATIC	8ba6e637fa2a5ff897b1647c15cd00b95654dbf07c373dc1c38b177839b2e660	764 bytes	exact range classified	0x005a2b2d	hash-pinned pristine bytes; no payload tracked	runtime reachability is not implied for every dispatch variant	one byte or range-boundary change
