row_id	row_kind	subject	evidence_class	specimen_sha256	denominator	classified	result	evidence_boundary	remaining_unknown	falsifier
FAMILY-SERIALIZED	family	loose CMSH BONE carriers	CORPUS_MEASURED	c45722aeed52e77788c7886cb30b813900d3516b1c387983c442d2b02d4fe4b9	213 meshes; 3203 skinned vertices; 9609 slot words	38436 field words; zero unclassified	patterns={"AAA":2252,"AAB":135,"ABA":809,"ABC":7,"BAA":0}	all 213 loose CMSH inputs hash-verified; exactly seven one-part BONE carriers; 48/0/4 vertex profile	runtime draw is observed only for the two Sentinel arms	one hash-verified BONE carrier outside this denominator or one unclassified 48-byte word
MESH-001	serialized-mesh	m_f_dtroop.msh.aya	CORPUS_MEASURED	81b497ddc266bc17b24612c093c00aa54d6468dcc6e74b352b4d9d12371a2530	359 vertices; 18 bones; 1077 slots	all vertex fields and BONE slots classified	patterns={"AAA":257,"AAB":33,"ABA":68,"ABC":1,"BAA":0}; discriminators=69	carrier part 1 forsettitrooper; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
MESH-002	serialized-mesh	m_ftrooper.msh.aya	CORPUS_MEASURED	a8ed6deac78331dac0894c955779141b92b5dea33aec9bd9eb512f03410b0875	359 vertices; 18 bones; 1077 slots	all vertex fields and BONE slots classified	patterns={"AAA":257,"AAB":33,"ABA":68,"ABC":1,"BAA":0}; discriminators=69	carrier part 1 forsettitrooper; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
MESH-003	serialized-mesh	m_mcommando.msh.aya	CORPUS_MEASURED	d368fbdd9d5dcee672baa16037d41672d0314a7d721b07a4f5312b832c1369b8	677 vertices; 18 bones; 2031 slots	all vertex fields and BONE slots classified	patterns={"AAA":553,"AAB":26,"ABA":95,"ABC":3,"BAA":0}; discriminators=98	carrier part 1 muspellcommandohi; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
MESH-004	serialized-mesh	m_mfiredude.msh.aya	CORPUS_MEASURED	11916025b511d39796d1f62b248802be7bd092f271f0b2ac59efd3c8640f0e87	760 vertices; 19 bones; 2280 slots	all vertex fields and BONE slots classified	patterns={"AAA":622,"AAB":25,"ABA":112,"ABC":1,"BAA":0}; discriminators=113	carrier part 1 muspellfirebhi; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
MESH-005	serialized-mesh	m_mgrunt.msh.aya	CORPUS_MEASURED	f53ddf9e2cbb1e732df1da7674ca8b7effa14aab5f200c954f8a870daf42e34c	581 vertices; 19 bones; 1743 slots	all vertex fields and BONE slots classified	patterns={"AAA":459,"AAB":18,"ABA":103,"ABC":1,"BAA":0}; discriminators=104	carrier part 1 muspellgrunthi; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
MESH-006	serialized-mesh	m_Sentinel Arm Big.msh.aya	CORPUS_MEASURED	3c9092f3b7b16289e09e16e475303bef3fc072994ebf67b3ab7d88ed544a6967	233 vertices; 14 bones; 699 slots	all vertex fields and BONE slots classified	patterns={"AAA":52,"AAB":0,"ABA":181,"ABC":0,"BAA":0}; discriminators=181	carrier part 1 Tentacle; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
MESH-007	serialized-mesh	m_Sentinel Arm Small.msh.aya	CORPUS_MEASURED	4658024669892c41faafa711e5fabbaeffe29bafe9b149ba54e4324e20b29c30	234 vertices; 14 bones; 702 slots	all vertex fields and BONE slots classified	patterns={"AAA":52,"AAB":0,"ABA":182,"ABC":0,"BAA":0}; discriminators=182	carrier part 1 Tentacle; same-mesh part-index BONE array	no per-vertex scalar weight field is serialized	one out-of-range slot, unused declared bone, or non-48/0/4 carrier
FORMULA-ADDRESS	formula	matrix-palette addressing	STATIC_PLUS_RUNTIME	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	three stored slot floats per vertex	all 9,609 are exact 3 * BONE-array index	c[10 + storedSlot + row], storedSlot = 3 * BONE-array index	vs_1_1 relative c10 palette; three registers per bone	none inside the seven-mesh family	one stored slot not equal to three times an in-range BONE index
FORMULA-EXECUTED	formula	three-slot position combine	RUNTIME_MEASURED	8caff0c638978be90ab15530bb74321200abc0725fcc1812ee634338eb32800d+5847b187e5ac8306219552a4ec56c3f48f76b453c09f74717b0c7eabaa8088fb+d2966a4ec72af0dd7e8517bf51192cfd67fdde4efc575a36bf905c45b8aef88a	6 linked skinning shaders across 3 captures	all exact executed cores classified	2 * T[slot1] * position + T[slot2] * position	slot0 result is overwritten; slot1 is doubled; slot2 is added	bug-versus-intended-convention is unknown	a pinned linked skinning shader with a different combine core
FORMULA-SCALE	formula	palette weight scale	STATIC_PLUS_RUNTIME	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	16 renderer FMULs; 1344 captured palette rows	actual renderer scale/copy block pinned; all measured linear rows at one-third scale	palette scale=0.3333333432674408 (0x3eaaaaab); slot weights=[0.0, 0.6666666865348816, 0.3333333432674408]	renderer=0x0054b0ad..0x0054b224; constant=0x005d8608/0x3eaaaaab; 16 FMULs; copies scaled matrix to 0x009c69d4; shader sums 2+1 terms	raw float capture precision remains bounded by logger output	renderer scale constant/block/copy drift, or one palette row outside the float32 one-third envelope
BIND-CURRENT	bind-current	retail palette construction	RETAIL_STATIC	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750	one frame-zero and one current-pose sample per BONE part	roles and call sites classified	renderer samples each BONE part at frame zero and again at the current interpolated pose before building the palette	CMeshRenderer__RenderMeshCore samples frame zero/current interpolation, scales/copies the palette, then ApplyCustom uploads it	The dense retail matrix-construction body proves frame-zero/current-pose roles, but its exact row/column multiplication order is not promoted beyond those calls.	a typed instruction-level reduction or controlled trace that yields different bind/current algebra
