0x0059c070 CTexture__ProcessRowBatchesLinearStride
0x0059c110 CTexture__ProcessRowBatchesMcuStride128
0x0059c3f0 CDXTexture__ReleaseDecodeBankLists
0x0059c510 CDXTexture__InitDecodeAllocatorVtable
0x0059c5d0 CDXTexture__PumpDecodeAllocatorAndSetStage
0x0059c6b0 CTexture__CopyRowsFromPointerTable
0x0059c730 CDXTexture__ZeroBufferBytes
0x0059c750 CDXTexture__BeginAsyncDecodeJob
0x0059c78f CDXTexture__FinishAsyncDecodeJob
0x0059ccf3 CDXTexture__MemsetByte
0x0059cd26 CDXTexture__ReadU32BigEndian
0x0059cdbe CDXTexture__ValidateChunkTagAsciiOrLog
0x0059d9d8 CDXTexture__ParsePngChunk_gAMA
0x0059e110 CDXTexture__WriteJpegQuantTable
0x0059e310 CDXTexture__WriteJpegHuffmanTable
0x0059e4a0 CDXTexture__WriteJpegRestartIntervalMarker
0x0059e580 CDXTexture__WriteJpegFrameHeader
0x0059e770 CDXTexture__WriteJpegScanHeader
0x005ab0ed CDXTexture__EvalNodeOutputSizeUnits
0x005ab14b CTexture__SerializeNodeTreeToBitstream
0x005ab4d0 CMeshCollisionVolume__ExpandEdgeRows_MirrorHigh
0x005ab620 CMeshCollisionVolume__ExpandEdgeRows_MirrorBoth
0x005ab700 CMeshCollisionVolume__FinalizeEdgePaddingRows
0x005aba90 CDXTexture__SelectNextScanTableForProgress
