address	name	xref_count	owners	top_counts	unambiguous_non_cunitai
0x00408120	CUnitAI__Unk_00408120	3	CMonitor,CUnitAI	CMonitor:1;CUnitAI:1	false
0x0040d5b0	CUnitAI__Unk_0040d5b0	2	CExplosionInitThing	CExplosionInitThing:2	true
0x0040d7c0	CUnitAI__Unk_0040d7c0	1	CExplosionInitThing	CExplosionInitThing:1	true
0x0040da30	CUnitAI__Unk_0040da30	1	CExplosionInitThing	CExplosionInitThing:1	true
0x00415140	CUnitAI__Unk_00415140	1			false
0x00415780	CUnitAI__Unk_00415780	1			false
0x004157c0	CUnitAI__Unk_004157c0	1			false
0x00415970	CUnitAI__Unk_00415970	1			false
0x00415a50	CUnitAI__Unk_00415a50	1			false
0x0041ad10	CUnitAI__Unk_0041ad10	21	CCylinder,CMCBuggy,CMCTentacle,CPDSimpleSprite,OID	CMCTentacle:5;CCylinder:2;CMCBuggy:2;CPDSimpleSprite:1;OID:1	false
0x00423840	CUnitAI__Unk_00423840	7	CCutscene,CMesh,CResourceAccumulator	CMesh:2;CResourceAccumulator:2;CCutscene:1	false
0x004238c0	CUnitAI__Unk_004238c0	3	CCutscene,CMesh,CResourceAccumulator	CCutscene:1;CMesh:1;CResourceAccumulator:1	false
0x00423900	CUnitAI__Unk_00423900	4	CCutscene,CMesh,CResourceAccumulator	CCutscene:1;CMesh:1;CResourceAccumulator:1	false
0x00423910	CUnitAI__Unk_00423910	107	CCutscene,CDXEngine,CDXImposter,CDXMeshVB,CDXSurf,CDXTexture,CFEPGoodies,CHeightField,CMapTex,CMesh,CMeshPart,CMixerMap,CPolyBucket,CResourceAccumulator,CStaticShadows,CVertexShader,CWorld	CMeshPart:20;CMesh:11;CPolyBucket:11;CDXImposter:8;CVertexShader:7;CDXMeshVB:6;CDXTexture:6;CStaticShadows:6	false
0x00423960	CUnitAI__Unk_00423960	164	CCutscene,CDXEngine,CDXImposter,CDXMeshVB,CDXPatch,CDXSurf,CDXTexture,CDamage,CFEPGoodies,CHeightField,CMapTex,CMesh,CMeshPart,CMixerMap,CPolyBucket,CResourceAccumulator,CStaticShadows,CVertexShader,CWorld	CMeshPart:22;CCutscene:20;CMesh:18;CStaticShadows:14;CPolyBucket:12;CResourceAccumulator:12;CDXSurf:11;CDXMeshVB:10	false
0x00423990	CUnitAI__Unk_00423990	8	CCutscene,CDXMeshVB,CDXTexture,CMesh,CResourceAccumulator,CWorld	CDXTexture:2;CWorld:2;CCutscene:1;CDXMeshVB:1;CMesh:1;CResourceAccumulator:1	false
0x004239b0	CUnitAI__Unk_004239b0	3	CDXMeshVB,CWorld	CWorld:2;CDXMeshVB:1	false
0x004239f0	CUnitAI__Unk_004239f0	1			false
0x00424a20	CUnitAI__Unk_00424a20	1			false
0x00424be0	CUnitAI__Unk_00424be0	1	CUnitAI	CUnitAI:1	false
0x00424ca0	CUnitAI__Unk_00424ca0	1	CUnitAI	CUnitAI:1	false
0x004250f0	CUnitAI__Unk_004250f0	1	CUnitAI	CUnitAI:1	false
0x00425760	CUnitAI__Unk_00425760	10			false
0x00426fd0	CUnitAI__Unk_00426fd0	203	CDXTexture,CFastVB,CMeshCollisionVolume,CTexture	CFastVB:101;CTexture:78;CDXTexture:13;CMeshCollisionVolume:2	false
0x00428110	CUnitAI__Unk_00428110	3			false
0x00428500	CUnitAI__Unk_00428500	3	CUnitAI	CUnitAI:1	false
0x00428800	CUnitAI__Unk_00428800	2			false
0x004289b0	CUnitAI__Unk_004289b0	2			false
0x00428c70	CUnitAI__Unk_00428c70	3			false
0x00428cf0	CUnitAI__Unk_00428cf0	3			false
0x0042e750	CUnitAI__Unk_0042e750	10	CBattleEngine,CGame,CGeneralVolume,CMonitor,con_win	CGame:6;CBattleEngine:1;CGeneralVolume:1;CMonitor:1;con_win:1	false
0x0042ee90	CUnitAI__Unk_0042ee90	1			false
0x0042efd0	CUnitAI__Unk_0042efd0	2	CComponentStatement,CUnitAI	CComponentStatement:1;CUnitAI:1	false
0x0042f280	CUnitAI__Unk_0042f280	2	CUnitAI	CUnitAI:1	false
0x00430b30	CUnitAI__Unk_00430b30	2	CUnitAI	CUnitAI:1	false
0x00430fa0	CUnitAI__Unk_00430fa0	9	CComponentStatement,CExplosionStatement,CFeatureStatement,CHazardStatement,CRoundStatement,CSpawnerStatement,CWeaponModeStatement,CWeaponStatement	CComponentStatement:1;CExplosionStatement:1;CFeatureStatement:1;CHazardStatement:1;CRoundStatement:1;CSpawnerStatement:1;CWeaponModeStatement:1;CWeaponStatement:1	false
0x00431470	CUnitAI__Unk_00431470	2	CUnitAI	CUnitAI:1	false
0x004318c0	CUnitAI__Unk_004318c0	2	CUnitAI	CUnitAI:1	false
0x00438050	CUnitAI__Unk_00438050	1			false
0x004404f0	CUnitAI__Unk_004404f0	11	CCylinder,CDXEngine,CMCBuggy,CMCMech,CMeshCollisionVolume	CDXEngine:5;CMeshCollisionVolume:2;CCylinder:1;CMCBuggy:1;CMCMech:1	false
0x00440b70	CUnitAI__Unk_00440b70	1			false
0x00441b10	CUnitAI__Unk_00441b10	4	CFrontEnd,CGame,FrontendUpdate_CheatChecks	CGame:2;CFrontEnd:1;FrontendUpdate_CheatChecks:1	false
0x00442380	CUnitAI__Unk_00442380	2	CSoundManager	CSoundManager:2	true
0x00444f00	CUnitAI__Unk_00444f00	1			false
0x00444f20	CUnitAI__Unk_00444f20	1			false
0x00445570	CUnitAI__Unk_00445570	2	CUnitAI	CUnitAI:2	false
0x004455c0	CUnitAI__Unk_004455c0	2	CUnitAI	CUnitAI:2	false
0x00445610	CUnitAI__Unk_00445610	1			false
0x00445ad0	CUnitAI__Unk_00445ad0	1			false
0x00445f40	CUnitAI__Unk_00445f40	1			false
0x00446150	CUnitAI__Unk_00446150	1			false
0x00446400	CUnitAI__Unk_00446400	1	CUnitAI	CUnitAI:1	false
0x00447a40	CUnitAI__Unk_00447a40	1			false
0x00447ac0	CUnitAI__Unk_00447ac0	1			false
0x00447b10	CUnitAI__Unk_00447b10	1			false
0x00447b60	CUnitAI__Unk_00447b60	1			false
0x00447bb0	CUnitAI__Unk_00447bb0	1			false
