0x00449dc0 CWorld__LoadNamedMeshCacheFromBuffer
0x004bc260 CWorld__InitOccupancyBitplanes
0x004bc2d0 CWorld__ClearDynamicOccupancySet
0x004bc3e0 CWorld__RemoveUnitFromOccupancyGrid
0x004bc480 CWorld__AddUnitToOccupancyGridAndRebuildShadows
0x004bcbf0 CWorld__ApplyStaticMaskToOccupancyBitplanes
0x004bcd60 CWorld__RebuildOccupancyGridFromDynamicSet
0x004bd440 CWorld__ClearCrossNeighborsInBitplane
0x004bdf70 CWorld__SetOrClearOccupancyBit
0x004bdff0 CWorld__SkipLegacyOccupancyChunk
0x004be050 CWorld__LoadOccupancyBitplaneChunk
0x004be170 CWorld__ReadOccupancyChunkHeader
0x0042da00 CGame__UpdateCursorCenterWithWindowScale
0x0042e750 CGame__DispatchVibrationWithCareerGate
0x0044a130 CGame__RebuildLandscapeDamageStamps
0x004729e0 CGame__InitMouseInputState
0x00472a90 CGame__ToggleMouseInputState
0x004b7320 CGame__LoadMessageBoxPortraitTextures
0x004b7d90 CGame__PumpBinkVoiceSampleQueue
0x004ebbc0 CGame__InitStaticShadowBuildState
0x00527990 CGame__DrawLocalCoopControllerPrompt
0x0040c650 CBattleEngine__ApplyWeaponProfileByIndex
0x0040d5f0 CBattleEngine__AttachHudSoundEventListener
0x004e1910 CBattleEngine__FindSoundEventByNameIfEnabled
0x00509e40 CBattleEngine__GetTargetSetEntryByIndex
