0x00574080 CTexture__WalkNodeListUntilSentinel
0x005780d6 CDXTexture__DispatchPtr00656f84_WithInit
0x00578643 Math__TransformVec2ByMatrixPerspective
0x005786c0 Math__TransformVec2ArrayByMatrixPerspective
0x00578758 Math__TransformVec2ByMatrixLinear
0x00578794 Math__TransformVec2ArrayByMatrixLinear
0x005787e8 Math__NormalizeVec3
0x00578885 Math__TransformVec3ByMatrixPerspective
0x00578941 Math__TransformVec3ArrayByMatrixPerspective
0x00578a20 CTexture__MapNormalizedUvToVolumeCoords
0x00578bad CFastVB__ApplyOptionalTransformPasses_Minimal
0x00578dad CFastVB__MapVolumeCoordsToNormalizedUv
0x0057923a CTexture__DispatchMatrixOp00656f94_WithPostOp
0x00579273 CTexture__BuildTransformMatrixWithOptionalOffsets
0x00579527 CTexture__BuildProjectiveMatrixFromPlane
0x00579601 Math__BuildMatrixFromQuaternion
0x00579e08 CDXTexture__DecodeBmpDibFromMemory
0x0057af0a CDXTexture__DecodeJpegFromMemory
0x0057b182 CDXTexture__DecodeTgaFromMemory
0x0057b6fa CDXTexture__DecodePpmFromMemory
0x0057b9ce CDXTexture__DecodePngFromMemory
0x0057c7a4 CMeshCollisionVolume__LoadMappedTextureResourcesByMode
0x0057cc53 CDXTexture__InitMappedFileContext
