# bea.source-crosswalk.remediation-wave1.v1
# Parent audit: t_a103d4a7 commit 906452399d8fda9c1549859a66492ab72761a8f3
# Applied batch: 2 plus semantic correction t_497a7f9f (cumulative/final)
# Baseline: 1,783 AST definitions; 1,164 crosswalk rows; 1,149 valid joins; 15 non-function extras; 634 omitted definitions.
# Wave 1 does not add the 634 omitted definitions; they remain the named subsystem-expansion backlog.
# authority_targets are existing read-only authorities; analogy_boundary states the exact ceiling of each decision. The 24 original unsupported-analog downgrades carry a COLD_REAUDIT disposition after promoted-table, exact-note, and bounded-owner-alias review.
source_file	source_function	src_line	source_anchor	before_classification	before_va	action	after_classification	after_va	retail_name	evidence_status	authority_targets	analogy_boundary	raw_finding_codes	audit_disposition
activereader.cpp	CGenericActiveReader::SetReader	8	activereader.cpp:8	SOURCE_ANALOG	0x00401000	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00401000	CGenericActiveReader__SetReader	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00401000 to CGenericActiveReader__SetReader; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
actor.cpp	CActor::Init	15	actor.cpp:15	SOURCE_ANALOG	0x004011e0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x004011e0	CActor__Init	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x004011e0 to CActor__Init; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
actor.cpp	CActor::~dtor	45	actor.cpp:45	SOURCE_ANALOG	0x004015c0	STRENGTHEN_COMPILER_WRAPPER_ANALOG	SOURCE_ANALOG	0x004015c0	CActor__scalar_deleting_dtor	COMPILER_WRAPPER_ANALOG	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The promoted CActor semantics explicitly identifies 0x004015c0 as the MSVC scalar-deleting wrapper around CActor::~CActor. The analogy stops at compiler-wrapper ownership and does not claim source-body or allocator-ABI equality.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE;COLD_REAUDIT_CORRECTED
actor.cpp	CActor::Move	74	actor.cpp:74	SOURCE_ANALOG	0x004015e0	STRENGTHEN_NAME_ONLY_ANALOG;RETAIN_UNIQUE_VA_OWNER	SOURCE_ANALOG	0x004015e0	CActor__Move	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x004015e0 to CActor__Move; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK;CROSSWALK_VA_COLLISION	FIX_WEAK_ANALOG_EVIDENCE;FIX_VA_COLLISION_BY_PEER
actor.cpp	CActor::MoveTo	178	actor.cpp:178	SOURCE_ANALOG	0x004015e0	PROMOTE_EXPLICIT_SOURCE_BODY_IDENTITY;REASSIGN_CORRECTED_SOURCE_EXACT	SOURCE_EXACT	0x00401900	HYP__CActor__MoveTo	SOURCE_BODY_IDENTITY	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	The promoted CActor semantics directly anchors 0x00401900 to CActor::MoveTo with SOURCE_BODY status and the old-position/delegate shape. The former 0x004015e0 candidate belongs to CActor::Move and is not retained for this row.	ANALOG_REASON_EVIDENCE_WEAK;CROSSWALK_VA_COLLISION	FIX_WEAK_ANALOG_EVIDENCE;FIX_VA_COLLISION_BY_REASSIGNMENT;COLD_REAUDIT_CORRECTED
actor.cpp	CActor::TeleportOrientation	205	actor.cpp:205	SOURCE_ANALOG	0x004019b0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x004019b0	CActor__TeleportOrientation	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x004019b0 to CActor__TeleportOrientation; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
actor.cpp	CActor::HandleEvent	230	actor.cpp:230	SOURCE_ANALOG	0x004019e0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x004019e0	CActor__HandleEvent	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x004019e0 to CActor__HandleEvent; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
actor.cpp	CActor::GetFractionTime	262	actor.cpp:262	SOURCE_ANALOG	0x00401b50	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00401b50	CActor__GetFractionTime	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00401b50 to CActor__GetFractionTime; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
actor.cpp	CActor::GetRenderPos	283	actor.cpp:283	SOURCE_ANALOG	0x00401be0	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00401be0	CActor__GetRenderPos	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00401be0 to CActor__GetRenderPos; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
actor.cpp	CActor::GetRenderOrientation	291	actor.cpp:291	SOURCE_ANALOG	0x00401c50	STRENGTHEN_NAME_ONLY_ANALOG	SOURCE_ANALOG	0x00401c50	CActor__GetRenderOrientation	NAME_ONLY_ANALOG	reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv	The current name table and static closure both join 0x00401c50 to CActor__GetRenderOrientation; the analogy is limited to normalized named-owner identity, not source-body equality or runtime behavior.	ANALOG_EVIDENCE_PATH_MISSING;ANALOG_REASON_EVIDENCE_WEAK	FIX_WEAK_ANALOG_EVIDENCE
