0x00402220 CAirGuide__ShutdownAndUnlink
0x004661d0 CFEPMultiplayerStart__ClearJoinedPlayerSet
0x00544fb0 CDXLandscape__ResetWrapper
0x004cdd70 CRocket__RelinquishControllerOwnership
0x00437fe0 CPhysicsScriptStatements__SetOwnedString
0x0043ed20 CCutscene__DestroyRecursive
0x00472a10 CGameInterface__LoadHudTextures
0x004f5b80 CTokenArchive__RegisterReferenceFixup
0x004b6f70 CMessage__WordWrapToLineBuffer
0x0043e630 CFlexArray__SkipBytesFromMemBuffer
0x00420cd0 CCareer__GetSlotRecordPtr
0x00420d10 CCareer__PackLevelSummaryBits
0x0047eb00 CHeightField__SampleInterpolatedHeight
0x004f7ab0 CUMTexture__ConfigureByMode
0x004306b0 CSpawnerStatement__GetSerializedSize
0x00431020 CComponentStatement__GetSerializedSize
0x00491da0 CMapWho__IsEntryInBounds
0x0042d7a0 CController__ResetInactivityTimerConditional
0x004b7ab0 CDropship__SelectPortraitIndex
